date_id,full_date,year,quarter,month,month_name,week,day,day_of_week,day_name,is_weekend
20180830,2018-08-30,2018,3,8,August,35,30,4,Thursday,false
20180829,2018-08-29,2018,3,8,August,35,29,3,Wednesday,false
20180828,2018-08-28,2018,3,8,August,35,28,2,Tuesday,false
20180827,2018-08-27,2018,3,8,August,35,27,1,Monday,false
20180826,2018-08-26,2018,3,8,August,34,26,0,Sunday,true
20180825,2018-08-25,2018,3,8,August,34,25,6,Saturday,true
20180824,2018-08-24,2018,3,8,August,34,24,5,Friday,false
20180823,2018-08-23,2018,3,8,August,34,23,4,Thursday,false
20180822,2018-08-22,2018,3,8,August,34,22,3,Wednesday,false
20180821,2018-08-21,2018,3,8,August,34,21,2,Tuesday,false
20180820,2018-08-20,2018,3,8,August,34,20,1,Monday,false
20180819,2018-08-19,2018,3,8,August,33,19,0,Sunday,true
20180818,2018-08-18,2018,3,8,August,33,18,6,Saturday,true
20180817,2018-08-17,2018,3,8,August,33,17,5,Friday,false
20180816,2018-08-16,2018,3,8,August,33,16,4,Thursday,false
20180815,2018-08-15,2018,3,8,August,33,15,3,Wednesday,false
20180814,2018-08-14,2018,3,8,August,33,14,2,Tuesday,false
20180813,2018-08-13,2018,3,8,August,33,13,1,Monday,false
20180812,2018-08-12,2018,3,8,August,32,12,0,Sunday,true
20180811,2018-08-11,2018,3,8,August,32,11,6,Saturday,true
20180810,2018-08-10,2018,3,8,August,32,10,5,Friday,false
20180809,2018-08-09,2018,3,8,August,32,9,4,Thursday,false
20180808,2018-08-08,2018,3,8,August,32,8,3,Wednesday,false
20180807,2018-08-07,2018,3,8,August,32,7,2,Tuesday,false
20180806,2018-08-06,2018,3,8,August,32,6,1,Monday,false
20180805,2018-08-05,2018,3,8,August,31,5,0,Sunday,true
20180804,2018-08-04,2018,3,8,August,31,4,6,Saturday,true
20180803,2018-08-03,2018,3,8,August,31,3,5,Friday,false
20180802,2018-08-02,2018,3,8,August,31,2,4,Thursday,false
20180801,2018-08-01,2018,3,8,August,31,1,3,Wednesday,false
20180731,2018-07-31,2018,3,7,July,31,31,2,Tuesday,false
20180730,2018-07-30,2018,3,7,July,31,30,1,Monday,false
20180729,2018-07-29,2018,3,7,July,30,29,0,Sunday,true
20180728,2018-07-28,2018,3,7,July,30,28,6,Saturday,true
20180727,2018-07-27,2018,3,7,July,30,27,5,Friday,false
20180726,2018-07-26,2018,3,7,July,30,26,4,Thursday,false
20180725,2018-07-25,2018,3,7,July,30,25,3,Wednesday,false
20180724,2018-07-24,2018,3,7,July,30,24,2,Tuesday,false
20180723,2018-07-23,2018,3,7,July,30,23,1,Monday,false
20180722,2018-07-22,2018,3,7,July,29,22,0,Sunday,true
20180721,2018-07-21,2018,3,7,July,29,21,6,Saturday,true
20180720,2018-07-20,2018,3,7,July,29,20,5,Friday,false
20180719,2018-07-19,2018,3,7,July,29,19,4,Thursday,false
20180718,2018-07-18,2018,3,7,July,29,18,3,Wednesday,false
20180717,2018-07-17,2018,3,7,July,29,17,2,Tuesday,false
20180716,2018-07-16,2018,3,7,July,29,16,1,Monday,false
20180715,2018-07-15,2018,3,7,July,28,15,0,Sunday,true
20180714,2018-07-14,2018,3,7,July,28,14,6,Saturday,true
20180713,2018-07-13,2018,3,7,July,28,13,5,Friday,false
20180712,2018-07-12,2018,3,7,July,28,12,4,Thursday,false
20180711,2018-07-11,2018,3,7,July,28,11,3,Wednesday,false
20180710,2018-07-10,2018,3,7,July,28,10,2,Tuesday,false
20180709,2018-07-09,2018,3,7,July,28,9,1,Monday,false
20180708,2018-07-08,2018,3,7,July,27,8,0,Sunday,true
20180707,2018-07-07,2018,3,7,July,27,7,6,Saturday,true
20180706,2018-07-06,2018,3,7,July,27,6,5,Friday,false
20180705,2018-07-05,2018,3,7,July,27,5,4,Thursday,false
20180704,2018-07-04,2018,3,7,July,27,4,3,Wednesday,false
20180703,2018-07-03,2018,3,7,July,27,3,2,Tuesday,false
20180702,2018-07-02,2018,3,7,July,27,2,1,Monday,false
20180701,2018-07-01,2018,3,7,July,26,1,0,Sunday,true
20180630,2018-06-30,2018,2,6,June,26,30,6,Saturday,true
20180629,2018-06-29,2018,2,6,June,26,29,5,Friday,false
20180628,2018-06-28,2018,2,6,June,26,28,4,Thursday,false
20180627,2018-06-27,2018,2,6,June,26,27,3,Wednesday,false
20180626,2018-06-26,2018,2,6,June,26,26,2,Tuesday,false
20180625,2018-06-25,2018,2,6,June,26,25,1,Monday,false
20180624,2018-06-24,2018,2,6,June,25,24,0,Sunday,true
20180623,2018-06-23,2018,2,6,June,25,23,6,Saturday,true
20180622,2018-06-22,2018,2,6,June,25,22,5,Friday,false
20180621,2018-06-21,2018,2,6,June,25,21,4,Thursday,false
20180620,2018-06-20,2018,2,6,June,25,20,3,Wednesday,false
20180619,2018-06-19,2018,2,6,June,25,19,2,Tuesday,false
20180618,2018-06-18,2018,2,6,June,25,18,1,Monday,false
20180617,2018-06-17,2018,2,6,June,24,17,0,Sunday,true
20180616,2018-06-16,2018,2,6,June,24,16,6,Saturday,true
20180615,2018-06-15,2018,2,6,June,24,15,5,Friday,false
20180614,2018-06-14,2018,2,6,June,24,14,4,Thursday,false
20180613,2018-06-13,2018,2,6,June,24,13,3,Wednesday,false
20180612,2018-06-12,2018,2,6,June,24,12,2,Tuesday,false
20180611,2018-06-11,2018,2,6,June,24,11,1,Monday,false
20180610,2018-06-10,2018,2,6,June,23,10,0,Sunday,true
20180609,2018-06-09,2018,2,6,June,23,9,6,Saturday,true
20180608,2018-06-08,2018,2,6,June,23,8,5,Friday,false
20180607,2018-06-07,2018,2,6,June,23,7,4,Thursday,false
20180606,2018-06-06,2018,2,6,June,23,6,3,Wednesday,false
20180605,2018-06-05,2018,2,6,June,23,5,2,Tuesday,false
20180604,2018-06-04,2018,2,6,June,23,4,1,Monday,false
20180603,2018-06-03,2018,2,6,June,22,3,0,Sunday,true
20180602,2018-06-02,2018,2,6,June,22,2,6,Saturday,true
20180601,2018-06-01,2018,2,6,June,22,1,5,Friday,false
20180531,2018-05-31,2018,2,5,May,22,31,4,Thursday,false
20180530,2018-05-30,2018,2,5,May,22,30,3,Wednesday,false
20180529,2018-05-29,2018,2,5,May,22,29,2,Tuesday,false
20180528,2018-05-28,2018,2,5,May,22,28,1,Monday,false
20180527,2018-05-27,2018,2,5,May,21,27,0,Sunday,true
20180526,2018-05-26,2018,2,5,May,21,26,6,Saturday,true
20180525,2018-05-25,2018,2,5,May,21,25,5,Friday,false
20180524,2018-05-24,2018,2,5,May,21,24,4,Thursday,false
20180523,2018-05-23,2018,2,5,May,21,23,3,Wednesday,false
20180522,2018-05-22,2018,2,5,May,21,22,2,Tuesday,false
20180521,2018-05-21,2018,2,5,May,21,21,1,Monday,false
20180520,2018-05-20,2018,2,5,May,20,20,0,Sunday,true
20180519,2018-05-19,2018,2,5,May,20,19,6,Saturday,true
20180518,2018-05-18,2018,2,5,May,20,18,5,Friday,false
20180517,2018-05-17,2018,2,5,May,20,17,4,Thursday,false
20180516,2018-05-16,2018,2,5,May,20,16,3,Wednesday,false
20180515,2018-05-15,2018,2,5,May,20,15,2,Tuesday,false
20180514,2018-05-14,2018,2,5,May,20,14,1,Monday,false
20180513,2018-05-13,2018,2,5,May,19,13,0,Sunday,true
20180512,2018-05-12,2018,2,5,May,19,12,6,Saturday,true
20180511,2018-05-11,2018,2,5,May,19,11,5,Friday,false
20180510,2018-05-10,2018,2,5,May,19,10,4,Thursday,false
20180509,2018-05-09,2018,2,5,May,19,9,3,Wednesday,false
20180508,2018-05-08,2018,2,5,May,19,8,2,Tuesday,false
20180507,2018-05-07,2018,2,5,May,19,7,1,Monday,false
20180506,2018-05-06,2018,2,5,May,18,6,0,Sunday,true
20180505,2018-05-05,2018,2,5,May,18,5,6,Saturday,true
20180504,2018-05-04,2018,2,5,May,18,4,5,Friday,false
20180503,2018-05-03,2018,2,5,May,18,3,4,Thursday,false
20180502,2018-05-02,2018,2,5,May,18,2,3,Wednesday,false
20180501,2018-05-01,2018,2,5,May,18,1,2,Tuesday,false
20180430,2018-04-30,2018,2,4,April,18,30,1,Monday,false
20180429,2018-04-29,2018,2,4,April,17,29,0,Sunday,true
20180428,2018-04-28,2018,2,4,April,17,28,6,Saturday,true
20180427,2018-04-27,2018,2,4,April,17,27,5,Friday,false
20180426,2018-04-26,2018,2,4,April,17,26,4,Thursday,false
20180425,2018-04-25,2018,2,4,April,17,25,3,Wednesday,false
20180424,2018-04-24,2018,2,4,April,17,24,2,Tuesday,false
20180423,2018-04-23,2018,2,4,April,17,23,1,Monday,false
20180422,2018-04-22,2018,2,4,April,16,22,0,Sunday,true
20180421,2018-04-21,2018,2,4,April,16,21,6,Saturday,true
20180420,2018-04-20,2018,2,4,April,16,20,5,Friday,false
20180419,2018-04-19,2018,2,4,April,16,19,4,Thursday,false
20180418,2018-04-18,2018,2,4,April,16,18,3,Wednesday,false
20180417,2018-04-17,2018,2,4,April,16,17,2,Tuesday,false
20180416,2018-04-16,2018,2,4,April,16,16,1,Monday,false
20180415,2018-04-15,2018,2,4,April,15,15,0,Sunday,true
20180414,2018-04-14,2018,2,4,April,15,14,6,Saturday,true
20180413,2018-04-13,2018,2,4,April,15,13,5,Friday,false
20180412,2018-04-12,2018,2,4,April,15,12,4,Thursday,false
20180411,2018-04-11,2018,2,4,April,15,11,3,Wednesday,false
20180410,2018-04-10,2018,2,4,April,15,10,2,Tuesday,false
20180409,2018-04-09,2018,2,4,April,15,9,1,Monday,false
20180408,2018-04-08,2018,2,4,April,14,8,0,Sunday,true
20180407,2018-04-07,2018,2,4,April,14,7,6,Saturday,true
20180406,2018-04-06,2018,2,4,April,14,6,5,Friday,false
20180405,2018-04-05,2018,2,4,April,14,5,4,Thursday,false
20180404,2018-04-04,2018,2,4,April,14,4,3,Wednesday,false
20180403,2018-04-03,2018,2,4,April,14,3,2,Tuesday,false
20180402,2018-04-02,2018,2,4,April,14,2,1,Monday,false
20180401,2018-04-01,2018,2,4,April,13,1,0,Sunday,true
20180331,2018-03-31,2018,1,3,March,13,31,6,Saturday,true
20180330,2018-03-30,2018,1,3,March,13,30,5,Friday,false
20180329,2018-03-29,2018,1,3,March,13,29,4,Thursday,false
20180328,2018-03-28,2018,1,3,March,13,28,3,Wednesday,false
20180327,2018-03-27,2018,1,3,March,13,27,2,Tuesday,false
20180326,2018-03-26,2018,1,3,March,13,26,1,Monday,false
20180325,2018-03-25,2018,1,3,March,12,25,0,Sunday,true
20180324,2018-03-24,2018,1,3,March,12,24,6,Saturday,true
20180323,2018-03-23,2018,1,3,March,12,23,5,Friday,false
20180322,2018-03-22,2018,1,3,March,12,22,4,Thursday,false
20180321,2018-03-21,2018,1,3,March,12,21,3,Wednesday,false
20180320,2018-03-20,2018,1,3,March,12,20,2,Tuesday,false
20180319,2018-03-19,2018,1,3,March,12,19,1,Monday,false
20180318,2018-03-18,2018,1,3,March,11,18,0,Sunday,true
20180317,2018-03-17,2018,1,3,March,11,17,6,Saturday,true
20180316,2018-03-16,2018,1,3,March,11,16,5,Friday,false
20180315,2018-03-15,2018,1,3,March,11,15,4,Thursday,false
20180314,2018-03-14,2018,1,3,March,11,14,3,Wednesday,false
20180313,2018-03-13,2018,1,3,March,11,13,2,Tuesday,false
20180312,2018-03-12,2018,1,3,March,11,12,1,Monday,false
20180311,2018-03-11,2018,1,3,March,10,11,0,Sunday,true
20180310,2018-03-10,2018,1,3,March,10,10,6,Saturday,true
20180309,2018-03-09,2018,1,3,March,10,9,5,Friday,false
20180308,2018-03-08,2018,1,3,March,10,8,4,Thursday,false
20180307,2018-03-07,2018,1,3,March,10,7,3,Wednesday,false
20180306,2018-03-06,2018,1,3,March,10,6,2,Tuesday,false
20180305,2018-03-05,2018,1,3,March,10,5,1,Monday,false
20180304,2018-03-04,2018,1,3,March,9,4,0,Sunday,true
20180303,2018-03-03,2018,1,3,March,9,3,6,Saturday,true
20180302,2018-03-02,2018,1,3,March,9,2,5,Friday,false
20180301,2018-03-01,2018,1,3,March,9,1,4,Thursday,false
20180228,2018-02-28,2018,1,2,February,9,28,3,Wednesday,false
20180227,2018-02-27,2018,1,2,February,9,27,2,Tuesday,false
20180226,2018-02-26,2018,1,2,February,9,26,1,Monday,false
20180225,2018-02-25,2018,1,2,February,8,25,0,Sunday,true
20180224,2018-02-24,2018,1,2,February,8,24,6,Saturday,true
20180223,2018-02-23,2018,1,2,February,8,23,5,Friday,false
20180222,2018-02-22,2018,1,2,February,8,22,4,Thursday,false
20180221,2018-02-21,2018,1,2,February,8,21,3,Wednesday,false
20180220,2018-02-20,2018,1,2,February,8,20,2,Tuesday,false
20180219,2018-02-19,2018,1,2,February,8,19,1,Monday,false
20180218,2018-02-18,2018,1,2,February,7,18,0,Sunday,true
20180217,2018-02-17,2018,1,2,February,7,17,6,Saturday,true
20180216,2018-02-16,2018,1,2,February,7,16,5,Friday,false
20180215,2018-02-15,2018,1,2,February,7,15,4,Thursday,false
20180214,2018-02-14,2018,1,2,February,7,14,3,Wednesday,false
20180213,2018-02-13,2018,1,2,February,7,13,2,Tuesday,false
20180212,2018-02-12,2018,1,2,February,7,12,1,Monday,false
20180211,2018-02-11,2018,1,2,February,6,11,0,Sunday,true
20180210,2018-02-10,2018,1,2,February,6,10,6,Saturday,true
20180209,2018-02-09,2018,1,2,February,6,9,5,Friday,false
20180208,2018-02-08,2018,1,2,February,6,8,4,Thursday,false
20180207,2018-02-07,2018,1,2,February,6,7,3,Wednesday,false
20180206,2018-02-06,2018,1,2,February,6,6,2,Tuesday,false
20180205,2018-02-05,2018,1,2,February,6,5,1,Monday,false
20180204,2018-02-04,2018,1,2,February,5,4,0,Sunday,true
20180203,2018-02-03,2018,1,2,February,5,3,6,Saturday,true
20180202,2018-02-02,2018,1,2,February,5,2,5,Friday,false
20180201,2018-02-01,2018,1,2,February,5,1,4,Thursday,false
20180131,2018-01-31,2018,1,1,January,5,31,3,Wednesday,false
20180130,2018-01-30,2018,1,1,January,5,30,2,Tuesday,false
20180129,2018-01-29,2018,1,1,January,5,29,1,Monday,false
20180128,2018-01-28,2018,1,1,January,4,28,0,Sunday,true
20180127,2018-01-27,2018,1,1,January,4,27,6,Saturday,true
20180126,2018-01-26,2018,1,1,January,4,26,5,Friday,false
20180125,2018-01-25,2018,1,1,January,4,25,4,Thursday,false
20180124,2018-01-24,2018,1,1,January,4,24,3,Wednesday,false
20180123,2018-01-23,2018,1,1,January,4,23,2,Tuesday,false
20180122,2018-01-22,2018,1,1,January,4,22,1,Monday,false
20180121,2018-01-21,2018,1,1,January,3,21,0,Sunday,true
20180120,2018-01-20,2018,1,1,January,3,20,6,Saturday,true
20180119,2018-01-19,2018,1,1,January,3,19,5,Friday,false
20180118,2018-01-18,2018,1,1,January,3,18,4,Thursday,false
20180117,2018-01-17,2018,1,1,January,3,17,3,Wednesday,false
20180116,2018-01-16,2018,1,1,January,3,16,2,Tuesday,false
20180115,2018-01-15,2018,1,1,January,3,15,1,Monday,false
20180114,2018-01-14,2018,1,1,January,2,14,0,Sunday,true
20180113,2018-01-13,2018,1,1,January,2,13,6,Saturday,true
20180112,2018-01-12,2018,1,1,January,2,12,5,Friday,false
20180111,2018-01-11,2018,1,1,January,2,11,4,Thursday,false
20180110,2018-01-10,2018,1,1,January,2,10,3,Wednesday,false
20180109,2018-01-09,2018,1,1,January,2,9,2,Tuesday,false
20180108,2018-01-08,2018,1,1,January,2,8,1,Monday,false
20180107,2018-01-07,2018,1,1,January,1,7,0,Sunday,true
20180106,2018-01-06,2018,1,1,January,1,6,6,Saturday,true
20180105,2018-01-05,2018,1,1,January,1,5,5,Friday,false
20180104,2018-01-04,2018,1,1,January,1,4,4,Thursday,false
20180103,2018-01-03,2018,1,1,January,1,3,3,Wednesday,false
20180102,2018-01-02,2018,1,1,January,1,2,2,Tuesday,false
20180101,2018-01-01,2018,1,1,January,1,1,1,Monday,false
20171231,2017-12-31,2017,4,12,December,52,31,0,Sunday,true
20171230,2017-12-30,2017,4,12,December,52,30,6,Saturday,true
20171229,2017-12-29,2017,4,12,December,52,29,5,Friday,false
20171228,2017-12-28,2017,4,12,December,52,28,4,Thursday,false
20171227,2017-12-27,2017,4,12,December,52,27,3,Wednesday,false
20171226,2017-12-26,2017,4,12,December,52,26,2,Tuesday,false
20171225,2017-12-25,2017,4,12,December,52,25,1,Monday,false
20171224,2017-12-24,2017,4,12,December,51,24,0,Sunday,true
20171223,2017-12-23,2017,4,12,December,51,23,6,Saturday,true
20171222,2017-12-22,2017,4,12,December,51,22,5,Friday,false
20171221,2017-12-21,2017,4,12,December,51,21,4,Thursday,false
20171220,2017-12-20,2017,4,12,December,51,20,3,Wednesday,false
20171219,2017-12-19,2017,4,12,December,51,19,2,Tuesday,false
20171218,2017-12-18,2017,4,12,December,51,18,1,Monday,false
20171217,2017-12-17,2017,4,12,December,50,17,0,Sunday,true
20171216,2017-12-16,2017,4,12,December,50,16,6,Saturday,true
20171215,2017-12-15,2017,4,12,December,50,15,5,Friday,false
20171214,2017-12-14,2017,4,12,December,50,14,4,Thursday,false
20171213,2017-12-13,2017,4,12,December,50,13,3,Wednesday,false
20171212,2017-12-12,2017,4,12,December,50,12,2,Tuesday,false
20171211,2017-12-11,2017,4,12,December,50,11,1,Monday,false
20171210,2017-12-10,2017,4,12,December,49,10,0,Sunday,true
20171209,2017-12-09,2017,4,12,December,49,9,6,Saturday,true
20171208,2017-12-08,2017,4,12,December,49,8,5,Friday,false
20171207,2017-12-07,2017,4,12,December,49,7,4,Thursday,false
20171206,2017-12-06,2017,4,12,December,49,6,3,Wednesday,false
20171205,2017-12-05,2017,4,12,December,49,5,2,Tuesday,false
20171204,2017-12-04,2017,4,12,December,49,4,1,Monday,false
20171203,2017-12-03,2017,4,12,December,48,3,0,Sunday,true
20171202,2017-12-02,2017,4,12,December,48,2,6,Saturday,true
20171201,2017-12-01,2017,4,12,December,48,1,5,Friday,false
20171130,2017-11-30,2017,4,11,November,48,30,4,Thursday,false
20171129,2017-11-29,2017,4,11,November,48,29,3,Wednesday,false
20171128,2017-11-28,2017,4,11,November,48,28,2,Tuesday,false
20171127,2017-11-27,2017,4,11,November,48,27,1,Monday,false
20171126,2017-11-26,2017,4,11,November,47,26,0,Sunday,true
20171125,2017-11-25,2017,4,11,November,47,25,6,Saturday,true
20171124,2017-11-24,2017,4,11,November,47,24,5,Friday,false
20171123,2017-11-23,2017,4,11,November,47,23,4,Thursday,false
20171122,2017-11-22,2017,4,11,November,47,22,3,Wednesday,false
20171121,2017-11-21,2017,4,11,November,47,21,2,Tuesday,false
20171120,2017-11-20,2017,4,11,November,47,20,1,Monday,false
20171119,2017-11-19,2017,4,11,November,46,19,0,Sunday,true
20171118,2017-11-18,2017,4,11,November,46,18,6,Saturday,true
20171117,2017-11-17,2017,4,11,November,46,17,5,Friday,false
20171116,2017-11-16,2017,4,11,November,46,16,4,Thursday,false
20171115,2017-11-15,2017,4,11,November,46,15,3,Wednesday,false
20171114,2017-11-14,2017,4,11,November,46,14,2,Tuesday,false
20171113,2017-11-13,2017,4,11,November,46,13,1,Monday,false
20171112,2017-11-12,2017,4,11,November,45,12,0,Sunday,true
20171111,2017-11-11,2017,4,11,November,45,11,6,Saturday,true
20171110,2017-11-10,2017,4,11,November,45,10,5,Friday,false
20171109,2017-11-09,2017,4,11,November,45,9,4,Thursday,false
20171108,2017-11-08,2017,4,11,November,45,8,3,Wednesday,false
20171107,2017-11-07,2017,4,11,November,45,7,2,Tuesday,false
20171106,2017-11-06,2017,4,11,November,45,6,1,Monday,false
20171105,2017-11-05,2017,4,11,November,44,5,0,Sunday,true
20171104,2017-11-04,2017,4,11,November,44,4,6,Saturday,true
20171103,2017-11-03,2017,4,11,November,44,3,5,Friday,false
20171102,2017-11-02,2017,4,11,November,44,2,4,Thursday,false
20171101,2017-11-01,2017,4,11,November,44,1,3,Wednesday,false
20171031,2017-10-31,2017,4,10,October,44,31,2,Tuesday,false
20171030,2017-10-30,2017,4,10,October,44,30,1,Monday,false
20171029,2017-10-29,2017,4,10,October,43,29,0,Sunday,true
20171028,2017-10-28,2017,4,10,October,43,28,6,Saturday,true
20171027,2017-10-27,2017,4,10,October,43,27,5,Friday,false
20171026,2017-10-26,2017,4,10,October,43,26,4,Thursday,false
20171025,2017-10-25,2017,4,10,October,43,25,3,Wednesday,false
20171024,2017-10-24,2017,4,10,October,43,24,2,Tuesday,false
20171023,2017-10-23,2017,4,10,October,43,23,1,Monday,false
20171022,2017-10-22,2017,4,10,October,42,22,0,Sunday,true
20171021,2017-10-21,2017,4,10,October,42,21,6,Saturday,true
20171020,2017-10-20,2017,4,10,October,42,20,5,Friday,false
20171019,2017-10-19,2017,4,10,October,42,19,4,Thursday,false
20171018,2017-10-18,2017,4,10,October,42,18,3,Wednesday,false
20171017,2017-10-17,2017,4,10,October,42,17,2,Tuesday,false
20171016,2017-10-16,2017,4,10,October,42,16,1,Monday,false
20171015,2017-10-15,2017,4,10,October,41,15,0,Sunday,true
20171014,2017-10-14,2017,4,10,October,41,14,6,Saturday,true
20171013,2017-10-13,2017,4,10,October,41,13,5,Friday,false
20171012,2017-10-12,2017,4,10,October,41,12,4,Thursday,false
20171011,2017-10-11,2017,4,10,October,41,11,3,Wednesday,false
20171010,2017-10-10,2017,4,10,October,41,10,2,Tuesday,false
20171009,2017-10-09,2017,4,10,October,41,9,1,Monday,false
20171008,2017-10-08,2017,4,10,October,40,8,0,Sunday,true
20171007,2017-10-07,2017,4,10,October,40,7,6,Saturday,true
20171006,2017-10-06,2017,4,10,October,40,6,5,Friday,false
20171005,2017-10-05,2017,4,10,October,40,5,4,Thursday,false
20171004,2017-10-04,2017,4,10,October,40,4,3,Wednesday,false
20171003,2017-10-03,2017,4,10,October,40,3,2,Tuesday,false
20171002,2017-10-02,2017,4,10,October,40,2,1,Monday,false
20171001,2017-10-01,2017,4,10,October,39,1,0,Sunday,true
20170930,2017-09-30,2017,3,9,September,39,30,6,Saturday,true
20170929,2017-09-29,2017,3,9,September,39,29,5,Friday,false
20170928,2017-09-28,2017,3,9,September,39,28,4,Thursday,false
20170927,2017-09-27,2017,3,9,September,39,27,3,Wednesday,false
20170926,2017-09-26,2017,3,9,September,39,26,2,Tuesday,false
20170925,2017-09-25,2017,3,9,September,39,25,1,Monday,false
20170924,2017-09-24,2017,3,9,September,38,24,0,Sunday,true
20170923,2017-09-23,2017,3,9,September,38,23,6,Saturday,true
20170922,2017-09-22,2017,3,9,September,38,22,5,Friday,false
20170921,2017-09-21,2017,3,9,September,38,21,4,Thursday,false
20170920,2017-09-20,2017,3,9,September,38,20,3,Wednesday,false
20170919,2017-09-19,2017,3,9,September,38,19,2,Tuesday,false
20170918,2017-09-18,2017,3,9,September,38,18,1,Monday,false
20170917,2017-09-17,2017,3,9,September,37,17,0,Sunday,true
20170916,2017-09-16,2017,3,9,September,37,16,6,Saturday,true
20170915,2017-09-15,2017,3,9,September,37,15,5,Friday,false
20170914,2017-09-14,2017,3,9,September,37,14,4,Thursday,false
20170913,2017-09-13,2017,3,9,September,37,13,3,Wednesday,false
20170912,2017-09-12,2017,3,9,September,37,12,2,Tuesday,false
20170911,2017-09-11,2017,3,9,September,37,11,1,Monday,false
20170910,2017-09-10,2017,3,9,September,36,10,0,Sunday,true
20170909,2017-09-09,2017,3,9,September,36,9,6,Saturday,true
20170908,2017-09-08,2017,3,9,September,36,8,5,Friday,false
20170907,2017-09-07,2017,3,9,September,36,7,4,Thursday,false
20170906,2017-09-06,2017,3,9,September,36,6,3,Wednesday,false
20170905,2017-09-05,2017,3,9,September,36,5,2,Tuesday,false
20170904,2017-09-04,2017,3,9,September,36,4,1,Monday,false
20170903,2017-09-03,2017,3,9,September,35,3,0,Sunday,true
20170902,2017-09-02,2017,3,9,September,35,2,6,Saturday,true
20170901,2017-09-01,2017,3,9,September,35,1,5,Friday,false
20170831,2017-08-31,2017,3,8,August,35,31,4,Thursday,false
20170830,2017-08-30,2017,3,8,August,35,30,3,Wednesday,false
20170829,2017-08-29,2017,3,8,August,35,29,2,Tuesday,false
20170828,2017-08-28,2017,3,8,August,35,28,1,Monday,false
20170827,2017-08-27,2017,3,8,August,34,27,0,Sunday,true
20170826,2017-08-26,2017,3,8,August,34,26,6,Saturday,true
20170825,2017-08-25,2017,3,8,August,34,25,5,Friday,false
20170824,2017-08-24,2017,3,8,August,34,24,4,Thursday,false
20170823,2017-08-23,2017,3,8,August,34,23,3,Wednesday,false
