order_date,customer_state,product_category_name_english,total_orders,total_items,gross_revenue,freight_value,average_order_value,delivered_orders,cancelled_orders,late_deliveries
2018-02-25,SP,office_furniture,1,1,146.99,41.02,146.99,1,0,0
2017-12-20,PR,construction_tools_construction,1,1,99.90,12.83,99.9,1,0,0
2018-06-02,MG,garden_tools,1,1,49.90,26.43,49.9,1,0,0
2017-09-18,RS,computers_accessories,2,2,127.00,31.05,63.5,2,0,0
2017-08-15,AL,luggage_accessories,1,1,114.90,21.60,114.9,1,0,0
2018-01-16,SC,pet_shop,1,1,139.00,18.22,139.0,1,0,0
2017-03-26,SP,garden_tools,3,3,118.64,30.70,39.54666666666667,3,0,0
2018-08-23,SP,furniture_living_room,1,2,106.60,25.34,106.6,1,0,0
2017-11-29,SP,auto,7,7,1183.82,137.64,169.11714285714285,7,0,2
2018-03-07,SP,sports_leisure,15,16,1575.44,241.14,105.02933333333334,15,0,2
2017-12-19,SP,electronics,4,4,57.75,35.82,14.4375,4,0,0
2017-06-08,RJ,housewares,3,3,87.79,46.31,29.263333333333335,3,0,0
2017-06-20,SP,bed_bath_table,4,4,222.79,51.00,55.6975,4,0,1
2017-11-09,SC,sports_leisure,4,7,673.69,81.37,168.4225,4,0,0
2017-09-30,RO,furniture_decor,1,1,279.00,59.74,279.0,1,0,0
2018-08-15,SP,auto,6,6,684.45,80.87,114.075,6,0,2
2017-03-09,SC,computers_accessories,1,1,20.90,17.78,20.9,1,0,0
2018-08-13,SP,watches_gifts,8,9,1254.99,81.03,156.87375,7,0,1
2017-12-21,RJ,health_beauty,1,1,169.90,13.14,169.9,1,0,0
2017-08-29,MG,health_beauty,4,4,572.98,63.81,143.245,4,0,0
2018-06-30,PR,garden_tools,1,1,119.00,20.02,119.0,1,0,0
2018-05-26,SP,baby,2,2,289.89,33.70,144.945,2,0,0
2018-06-14,RJ,housewares,2,2,384.00,68.73,192.0,2,0,0
2018-03-30,SP,stationery,3,3,567.90,50.74,189.29999999999998,3,0,0
2017-04-03,ES,housewares,1,1,34.90,16.05,34.9,1,0,0
2018-07-20,PA,stationery,1,1,98.90,53.04,98.9,1,0,0
2017-01-23,MT,garden_tools,1,2,289.98,53.90,289.98,1,0,0
2017-11-05,MS,telephony,1,1,28.99,15.10,28.99,1,0,0
2018-08-04,BA,telephony,1,1,170.00,10.32,170.0,0,0,0
2017-10-25,SP,pet_shop,1,1,24.00,16.11,24.0,1,0,0
2018-04-17,BA,watches_gifts,1,1,44.00,22.06,44.0,1,0,0
2018-08-13,SP,cool_stuff,2,2,399.80,48.92,199.9,2,0,1
2017-10-09,SC,toys,1,1,38.25,13.50,38.25,1,0,0
2018-07-18,SE,sports_leisure,1,1,84.00,19.50,84.0,1,0,0
2018-07-19,MG,auto,3,3,87.39,48.91,29.13,3,0,0
2018-08-11,SC,health_beauty,2,2,761.99,52.68,380.995,2,0,0
2018-02-20,MG,computers_accessories,5,5,264.79,76.68,52.958000000000006,5,0,0
2018-02-26,SP,telephony,3,4,85.53,43.32,28.51,3,0,1
2017-11-02,MG,luggage_accessories,1,2,154.89,32.06,154.89,1,0,0
2017-11-22,CE,stationery,1,1,109.00,29.16,109.0,1,0,1
2018-02-20,GO,health_beauty,1,1,45.36,15.10,45.36,1,0,1
2017-12-11,RJ,bed_bath_table,3,3,223.65,52.58,74.55,3,0,1
2018-03-10,BA,cool_stuff,2,2,254.89,50.22,127.445,2,0,1
2018-06-24,SP,home_construction,2,3,383.90,35.36,191.95,2,0,0
2017-08-16,MG,consoles_games,1,1,19.90,15.10,19.9,1,0,0
2017-05-24,SP,consoles_games,1,1,21.52,11.85,21.52,1,0,0
2017-08-06,SC,,1,1,93.49,15.40,93.49,1,0,0
2017-04-08,MG,furniture_decor,2,3,265.00,52.19,132.5,1,0,0
2018-03-16,SP,health_beauty,8,8,802.98,96.17,100.3725,8,0,1
2018-01-15,SP,stationery,12,12,1043.59,190.73,86.96583333333332,12,0,1
2017-10-29,RJ,health_beauty,2,2,132.89,46.81,66.445,2,0,0
2017-03-26,BA,garden_tools,1,1,289.00,40.65,289.0,1,0,0
2017-06-19,SP,perfumery,5,8,1427.71,83.49,285.54200000000003,5,0,0
2018-02-28,SP,sports_leisure,10,10,813.67,123.87,81.36699999999999,10,0,1
2018-01-30,PR,furniture_decor,1,1,14.90,12.48,14.9,1,0,0
2018-04-28,SP,watches_gifts,7,7,645.90,69.90,92.27142857142857,7,0,0
2017-08-03,RS,bed_bath_table,2,2,387.00,43.79,193.5,2,0,0
2018-06-28,SC,health_beauty,2,2,460.22,38.25,230.11,2,0,0
2018-07-26,DF,auto,1,1,39.90,15.38,39.9,1,0,0
2018-04-05,MG,bed_bath_table,2,2,89.89,36.27,44.945,2,0,0
2018-02-10,SP,garden_tools,3,3,231.70,92.37,77.23333333333333,3,0,1
2018-03-13,SP,construction_tools_construction,1,2,599.80,56.36,599.8,0,0,0
2017-11-02,GO,sports_leisure,3,4,585.80,69.38,195.26666666666665,3,0,1
2017-09-29,SP,furniture_decor,3,3,243.40,39.52,81.13333333333334,3,0,1
2017-11-25,SP,stationery,3,3,157.99,33.26,52.663333333333334,3,0,1
2018-05-13,GO,housewares,1,1,169.90,18.77,169.9,1,0,0
2018-06-11,DF,perfumery,1,1,319.00,18.20,319.0,1,0,1
2017-05-25,MT,bed_bath_table,1,1,220.00,17.98,220.0,1,0,0
2017-05-31,MA,bed_bath_table,1,1,89.90,34.43,89.9,1,0,0
2017-12-07,PR,health_beauty,2,2,263.90,30.32,131.95,2,0,0
2018-02-05,RJ,watches_gifts,2,2,1618.00,40.82,809.0,1,0,0
2017-09-03,SP,sports_leisure,2,2,273.89,23.90,136.945,1,1,0
2018-08-10,BA,auto,1,1,69.99,22.42,69.99,1,0,0
2018-01-19,SP,toys,3,3,834.88,48.63,278.29333333333335,2,0,1
2017-11-14,RJ,toys,2,2,389.90,27.93,194.95,2,0,0
2018-01-08,SP,stationery,9,9,791.90,120.54,87.98888888888888,9,0,0
2018-04-26,BA,bed_bath_table,1,1,49.99,23.28,49.99,1,0,0
2018-05-08,RJ,construction_tools_construction,1,1,188.00,23.03,188.0,1,0,0
2017-03-21,MG,health_beauty,2,2,54.98,29.04,27.49,2,0,0
2018-04-21,SP,construction_tools_construction,2,2,116.00,19.24,58.0,2,0,0
2017-09-26,SP,watches_gifts,4,4,1050.79,53.29,262.6975,4,0,0
2017-04-04,RJ,sports_leisure,1,1,34.60,14.52,34.6,1,0,0
2018-03-16,SC,furniture_decor,2,12,900.00,319.32,450.0,2,0,0
2018-07-24,MG,computers_accessories,3,3,192.21,47.18,64.07000000000001,3,0,0
2018-07-14,SP,bed_bath_table,5,9,383.28,172.66,76.65599999999999,5,0,0
2018-02-25,SP,health_beauty,6,6,596.99,63.44,99.49833333333333,6,0,0
2018-08-24,SP,telephony,3,3,144.40,22.79,48.13333333333333,3,0,1
2017-07-12,SP,bed_bath_table,6,6,869.50,86.70,144.91666666666666,6,0,0
2018-02-09,CE,computers_accessories,1,1,174.90,40.21,174.9,1,0,0
2018-06-29,SP,stationery,6,7,368.78,76.46,61.46333333333333,6,0,0
2017-05-31,RJ,furniture_decor,1,1,39.90,16.11,39.9,1,0,0
2017-12-20,SP,sports_leisure,6,6,1844.69,106.46,307.4483333333333,6,0,0
2017-08-29,RJ,auto,1,1,599.99,56.56,599.99,1,0,0
2017-09-01,SP,toys,4,4,489.69,103.93,122.4225,4,0,0
2017-12-01,MT,toys,1,1,99.99,25.98,99.99,1,0,1
2018-07-03,MG,health_beauty,5,9,978.60,143.88,195.72,5,0,0
2018-04-01,MG,computers_accessories,3,3,238.39,54.60,79.46333333333332,3,0,0
2017-11-20,RN,consoles_games,1,1,415.37,38.23,415.37,1,0,0
2018-07-20,RJ,health_beauty,4,4,269.53,63.09,67.3825,4,0,0
2018-02-03,RS,office_furniture,1,1,329.90,67.12,329.9,1,0,0
2018-04-19,PR,sports_leisure,1,1,25.00,19.32,25.0,1,0,0
2018-05-14,SP,books_general_interest,1,1,39.90,7.39,39.9,1,0,0
2018-04-09,DF,bed_bath_table,1,1,56.99,19.37,56.99,1,0,0
2018-07-23,SC,construction_tools_safety,1,1,99.00,18.79,99.0,1,0,0
2018-01-03,TO,sports_leisure,1,2,157.94,94.94,157.94,1,0,0
2017-03-03,PR,computers_accessories,1,1,650.00,21.39,650.0,1,0,0
2018-03-03,MG,auto,1,1,169.90,14.92,169.9,1,0,0
2018-08-05,RJ,bed_bath_table,4,5,186.25,116.16,46.5625,4,0,2
2017-05-25,RJ,pet_shop,1,1,12.14,15.10,12.14,1,0,0
2018-03-15,SP,toys,4,4,302.80,57.65,75.7,4,0,0
2017-01-24,ES,consoles_games,1,1,719.88,21.30,719.88,0,0,0
2018-05-02,SP,computers_accessories,11,11,955.08,201.62,86.82545454545455,11,0,0
2018-01-10,RJ,housewares,1,1,29.90,15.11,29.9,1,0,0
2017-10-24,RJ,,1,1,39.90,16.11,39.9,1,0,0
2018-01-15,RJ,costruction_tools_tools,1,1,189.90,18.58,189.9,1,0,0
2018-06-16,BA,home_appliances,1,1,153.75,23.01,153.75,1,0,0
2017-08-15,GO,,1,1,61.90,16.87,61.9,1,0,0
2017-04-02,SP,pet_shop,2,2,119.89,31.37,59.945,2,0,0
2018-05-30,SP,electronics,1,1,139.90,14.97,139.9,1,0,0
2017-10-21,SP,furniture_decor,4,6,1604.58,99.05,401.145,4,0,0
2018-01-19,PR,construction_tools_construction,1,1,489.00,17.17,489.0,1,0,0
2017-07-27,PE,stationery,1,1,69.00,28.88,69.0,1,0,0
2017-09-23,RJ,home_appliances_2,1,1,139.00,28.35,139.0,1,0,0
2018-07-05,SP,sports_leisure,7,7,614.90,107.76,87.84285714285714,7,0,0
2018-01-28,SP,home_construction,1,1,10.50,14.10,10.5,1,0,0
2018-05-14,SC,,1,1,185.00,19.81,185.0,1,0,0
2018-05-10,MG,watches_gifts,7,7,1232.90,106.67,176.12857142857143,7,0,2
2017-11-25,BA,perfumery,2,2,503.99,38.66,251.995,2,0,1
2017-05-24,RJ,watches_gifts,3,3,463.93,44.57,154.64333333333335,3,0,0
2017-02-04,MG,health_beauty,2,2,215.89,32.60,107.945,2,0,0
2017-11-10,MS,toys,1,1,89.90,17.88,89.9,1,0,0
2018-05-15,RJ,stationery,2,2,117.99,33.80,58.995,2,0,0
2017-12-03,SP,stationery,4,4,447.38,63.38,111.845,4,0,0
2017-10-22,RS,furniture_decor,1,1,299.00,22.58,299.0,1,0,0
2017-01-18,PE,health_beauty,1,1,349.90,28.71,349.9,1,0,0
2017-10-25,SP,auto,3,3,248.38,34.28,82.79333333333334,3,0,0
2018-01-17,MG,housewares,3,4,403.74,97.73,134.58,3,0,0
2017-11-20,SP,auto,6,6,919.19,85.36,153.19833333333335,6,0,0
2018-02-04,PE,health_beauty,2,2,209.99,53.29,104.995,2,0,0
2018-02-19,RS,furniture_decor,3,3,260.40,56.85,86.8,3,0,0
2017-07-27,CE,health_beauty,2,2,1148.00,277.80,574.0,2,0,0
2018-07-27,RJ,perfumery,2,2,69.89,26.01,34.945,2,0,0
2017-05-06,PR,furniture_decor,2,4,280.90,72.84,140.45,2,0,0
2018-06-16,DF,health_beauty,2,3,370.64,50.89,185.32,2,0,0
2018-07-09,RJ,perfumery,1,1,49.90,7.77,49.9,1,0,0
2017-07-26,RS,garden_tools,1,1,59.90,17.67,59.9,1,0,0
2018-01-02,MS,perfumery,1,1,13.99,15.10,13.99,1,0,0
2017-10-09,MG,telephony,5,5,353.50,88.67,70.7,4,0,1
2018-05-23,SP,baby,2,5,236.20,103.71,118.1,2,0,0
2018-06-15,PB,toys,1,2,1480.00,155.54,1480.0,1,0,0
2018-03-07,BA,furniture_decor,1,1,229.00,62.07,229.0,1,0,0
2018-02-05,MG,perfumery,2,2,61.89,29.20,30.945,2,0,0
2018-05-07,MG,garden_tools,4,5,442.92,61.82,110.73,4,0,0
2018-02-04,SP,housewares,4,5,1025.38,72.80,256.345,3,0,1
2018-02-25,MG,sports_leisure,1,1,74.99,15.28,74.99,1,0,0
2018-07-12,PB,auto,1,1,129.00,51.62,129.0,1,0,0
2018-02-01,PR,cool_stuff,1,1,144.99,17.26,144.99,1,0,0
2017-11-07,SP,health_beauty,6,7,500.17,85.13,83.36166666666666,6,0,1
2018-06-01,RJ,home_construction,1,1,150.00,33.31,150.0,1,0,0
2018-07-02,RS,consoles_games,2,2,895.50,31.95,447.75,2,0,0
2018-07-03,SP,health_beauty,10,10,954.55,126.39,95.455,10,0,0
2018-06-02,RJ,health_beauty,3,3,195.27,63.37,65.09,3,0,0
2018-04-25,SP,sports_leisure,6,6,421.40,81.71,70.23333333333333,6,0,0
2018-08-01,GO,computers_accessories,1,1,68.90,17.41,68.9,1,0,0
2018-07-28,SP,computers_accessories,6,6,175.18,83.22,29.19666666666667,6,0,0
2018-08-13,RS,garden_tools,2,2,139.80,47.92,69.9,2,0,0
2017-11-13,SP,health_beauty,8,9,836.71,142.94,104.58875,7,1,1
2018-08-05,MG,costruction_tools_garden,1,2,109.00,29.36,109.0,1,0,0
2017-11-03,SP,sports_leisure,8,9,1632.40,122.95,204.05,8,0,1
2018-04-24,SP,auto,3,3,1042.99,55.16,347.66333333333336,3,0,0
2017-12-25,AC,housewares,1,1,47.90,42.38,47.9,1,0,0
2017-07-29,BA,pet_shop,2,2,214.90,36.64,107.45,2,0,0
2017-05-23,ES,home_confort,1,1,237.99,18.92,237.99,1,0,0
2017-09-10,BA,toys,1,1,118.80,20.07,118.8,1,0,0
2017-11-24,SC,watches_gifts,5,5,239.90,72.24,47.980000000000004,5,0,0
2018-08-03,SP,small_appliances,1,1,489.06,26.22,489.06,1,0,1
2018-04-18,SP,watches_gifts,7,7,1354.80,59.88,193.54285714285714,7,0,0
2018-02-17,RJ,auto,1,1,45.00,14.10,45.0,1,0,0
2018-04-05,SP,sports_leisure,12,13,1061.73,142.66,88.4775,11,0,0
2018-02-03,RS,health_beauty,2,2,383.49,33.87,191.745,2,0,1
2018-02-26,DF,furniture_decor,1,1,68.90,17.73,68.9,1,0,0
2018-03-05,MS,computers_accessories,1,1,149.90,27.90,149.9,1,0,0
2018-03-14,MG,computers_accessories,2,2,93.99,36.52,46.995,2,0,0
2017-08-20,SP,fashion_bags_accessories,3,3,128.89,36.75,42.96333333333333,3,0,0
2017-04-22,SC,housewares,1,1,399.90,84.65,399.9,1,0,0
2018-07-30,SP,telephony,11,14,1324.41,218.95,120.4009090909091,11,0,3
2018-03-26,SP,furniture_decor,6,7,575.27,85.63,95.87833333333333,6,0,0
2017-12-10,GO,toys,1,1,69.90,15.25,69.9,1,0,0
2018-06-20,MG,furniture_decor,1,1,79.99,10.76,79.99,1,0,0
2018-06-20,MG,electronics,1,2,109.09,49.21,109.09,1,0,0
2018-07-31,SP,telephony,6,7,781.88,117.54,130.31333333333333,6,0,1
2018-04-26,PR,baby,1,1,169.90,29.37,169.9,1,0,0
2017-02-25,SP,fashio_female_clothing,1,1,93.90,11.27,93.9,0,0,0
2017-07-25,SP,bed_bath_table,6,7,1082.93,163.33,180.48833333333334,6,0,0
2018-06-13,PA,office_furniture,1,1,289.00,173.02,289.0,1,0,0
2017-11-30,PR,bed_bath_table,3,3,293.22,57.64,97.74000000000001,3,0,0
2017-07-05,MT,health_beauty,1,1,740.00,30.46,740.0,1,0,0
2018-04-25,RS,baby,1,2,107.80,43.36,107.8,1,0,0
2018-01-06,PR,furniture_decor,1,2,139.80,41.96,139.8,1,0,0
2017-09-23,PE,sports_leisure,1,5,129.50,128.15,129.5,1,0,0
2018-07-04,SP,luggage_accessories,1,1,79.00,16.74,79.0,1,0,0
2017-11-28,RS,bed_bath_table,2,2,177.89,34.30,88.945,2,0,1
2017-05-08,SP,cool_stuff,2,2,151.89,21.45,75.945,1,0,1
2017-10-30,GO,health_beauty,1,1,59.90,17.67,59.9,1,0,0
2017-06-19,RJ,toys,1,1,339.99,15.21,339.99,1,0,0
2018-03-16,BA,health_beauty,1,1,81.90,20.30,81.9,1,0,0
2017-12-06,DF,,2,2,257.76,30.31,128.88,2,0,0
2018-02-07,RJ,food,1,1,56.97,16.16,56.97,1,0,0
2018-08-14,MG,auto,3,3,328.85,62.39,109.61666666666667,3,0,0
2018-04-16,MT,consoles_games,1,1,34.20,20.52,34.2,1,0,0
2018-02-06,SP,auto,5,5,367.69,66.89,73.538,5,0,0
2018-07-23,SP,agro_industry_and_commerce,1,1,120.00,17.03,120.0,1,0,0
2018-05-04,SC,health_beauty,2,3,330.96,55.95,165.48,2,0,0
2017-03-10,SE,computers_accessories,1,1,20.90,17.78,20.9,1,0,0
2018-05-17,RJ,housewares,2,2,92.99,41.75,46.495,2,0,0
2018-03-10,PR,sports_leisure,1,1,139.90,18.53,139.9,1,0,0
2018-06-10,RJ,electronics,1,1,19.65,18.23,19.65,1,0,0
2018-01-17,SP,stationery,5,5,545.00,96.68,109.0,5,0,0
2017-09-26,SP,cool_stuff,2,2,72.90,23.58,36.45,2,0,0
2017-07-12,SC,auto,1,1,44.90,13.50,44.9,1,0,0
2018-01-23,SC,garden_tools,1,3,149.70,52.80,149.7,1,0,0
2017-03-26,PR,fashion_male_clothing,1,2,49.80,29.04,49.8,1,0,0
2017-10-17,MT,watches_gifts,1,1,859.00,22.45,859.0,1,0,0
2018-04-18,RJ,luggage_accessories,1,1,79.90,23.14,79.9,1,0,0
2017-08-21,BA,furniture_decor,1,1,249.00,19.98,249.0,1,0,1
2017-12-25,SP,furniture_decor,3,4,252.90,51.66,84.3,3,0,0
2018-07-04,PE,stationery,1,1,76.00,20.80,76.0,1,0,0
2017-07-26,SC,health_beauty,2,2,149.48,30.84,74.74,2,0,0
2017-07-04,DF,computers_accessories,1,2,70.00,32.22,70.0,1,0,0
2018-03-30,ES,luggage_accessories,1,1,48.00,15.23,48.0,1,0,0
2018-03-16,SP,office_furniture,4,4,769.86,111.90,192.465,4,0,0
2018-05-16,RJ,garden_tools,2,2,1216.05,104.62,608.025,2,0,0
2017-12-18,RJ,industry_commerce_and_business,1,1,179.90,16.70,179.9,1,0,1
2017-12-01,DF,furniture_decor,1,1,49.90,16.11,49.9,1,0,0
2018-06-10,PR,auto,2,2,147.90,36.57,73.95,2,0,0
2018-05-15,RS,,1,1,185.00,12.63,185.0,1,0,0
2018-08-17,SP,telephony,5,5,579.39,60.13,115.878,5,0,0
2018-06-11,SP,stationery,4,4,250.40,60.69,62.6,4,0,0
