shipment_id,order_id,carrier,promised_date,delivered_date,is_late
SHP-000128,ORD-000128,Correios,2025-12-11,2025-12-11,False
SHP-000129,ORD-000129,Correios,2025-05-07,2025-05-08,True
SHP-000130,ORD-000130,Correios,2025-10-22,2025-10-22,False
SHP-000131,ORD-000131,Correios,2025-03-04,2025-03-04,False
SHP-000132,ORD-000132,Correios,2025-06-24,2025-06-24,False
SHP-000133,ORD-000133,Loggi,2025-03-02,2025-03-01,False
SHP-000134,ORD-000134,Total Express,2025-02-12,2025-02-14,True
SHP-000135,ORD-000135,Jadlog,2025-07-29,2025-07-31,True
SHP-000136,ORD-000136,Correios,2025-06-08,,False
SHP-000137,ORD-000137,Total Express,2025-07-08,2025-07-07,False
SHP-000138,ORD-000138,Jadlog,2025-07-09,2025-07-09,False
SHP-000139,ORD-000139,Jadlog,2025-05-09,2025-05-09,False
SHP-000140,ORD-000140,Correios,2025-09-17,2025-09-18,True
SHP-000141,ORD-000141,Loggi,2025-11-16,2025-11-15,False
SHP-000142,ORD-000142,Loggi,2025-12-10,2025-12-12,True
SHP-000143,ORD-000143,Loggi,2025-12-11,2025-12-13,True
SHP-000144,ORD-000144,Correios,2025-11-18,,False
SHP-000145,ORD-000145,Total Express,2026-01-01,2026-01-02,True
SHP-000146,ORD-000146,Correios,2025-08-07,2025-08-08,True
SHP-000147,ORD-000147,Correios,2025-01-26,2025-01-25,False
SHP-000148,ORD-000148,Total Express,2025-11-05,2025-11-05,False
SHP-000149,ORD-000149,Loggi,2025-10-15,2025-10-14,False
SHP-000150,ORD-000150,Correios,2025-08-10,2025-08-11,True
SHP-000151,ORD-000151,Loggi,2025-07-28,2025-07-28,False
SHP-000152,ORD-000152,Total Express,2025-02-07,2025-02-09,True
SHP-000153,ORD-000153,Jadlog,2025-05-09,2025-05-11,True
SHP-000154,ORD-000154,Total Express,2025-08-21,2025-08-20,False
SHP-000155,ORD-000155,Total Express,2025-07-29,2025-07-28,False
SHP-000156,ORD-000156,Total Express,2025-03-22,,False
SHP-000157,ORD-000157,Loggi,2025-09-14,2025-09-15,True
SHP-000158,ORD-000158,Correios,2025-07-18,2025-07-19,True
SHP-000159,ORD-000159,Correios,2025-08-19,2025-08-21,True
SHP-000160,ORD-000160,Total Express,2025-04-14,2025-04-15,True
SHP-000161,ORD-000161,Correios,2025-03-08,2025-03-08,False
SHP-000162,ORD-000162,Correios,2025-01-29,,False
SHP-000163,ORD-000163,Total Express,2025-03-13,,False
SHP-000164,ORD-000164,Loggi,2025-12-21,,False
SHP-000165,ORD-000165,Loggi,2025-12-24,2025-12-25,True
SHP-000166,ORD-000166,Jadlog,2025-03-17,2025-03-17,False
SHP-000167,ORD-000167,Jadlog,2025-10-09,2025-10-09,False
SHP-000168,ORD-000168,Correios,2025-12-21,2025-12-20,False
SHP-000169,ORD-000169,Correios,2025-04-18,2025-04-18,False
SHP-000170,ORD-000170,Total Express,2025-06-26,2025-06-27,True
SHP-000171,ORD-000171,Jadlog,2025-09-10,2025-09-10,False
SHP-000172,ORD-000172,Loggi,2025-07-03,2025-07-05,True
SHP-000173,ORD-000173,Jadlog,2025-12-22,2025-12-21,False
SHP-000174,ORD-000174,Correios,2025-07-10,2025-07-09,False
SHP-000175,ORD-000175,Correios,2025-08-24,,False
SHP-000176,ORD-000176,Correios,2025-09-29,,False
SHP-000177,ORD-000177,Jadlog,2025-03-02,,False
SHP-000178,ORD-000178,Correios,2025-09-07,2025-09-09,True
SHP-000179,ORD-000179,Total Express,2025-03-01,2025-03-01,False
SHP-000180,ORD-000180,Loggi,2025-03-04,2025-03-04,False
SHP-000181,ORD-000181,Total Express,2025-03-06,2025-03-08,True
SHP-000182,ORD-000182,Loggi,2025-10-22,2025-10-21,False
SHP-000183,ORD-000183,Total Express,2025-06-17,2025-06-16,False
SHP-000184,ORD-000184,Total Express,2025-05-15,2025-05-16,True
SHP-000185,ORD-000185,Total Express,2025-03-29,2025-03-30,True
SHP-000186,ORD-000186,Loggi,2025-10-24,2025-10-26,True
SHP-000187,ORD-000187,Total Express,2025-09-24,2025-09-24,False
SHP-000188,ORD-000188,Correios,2025-02-23,2025-02-24,True
SHP-000189,ORD-000189,Correios,2025-11-17,2025-11-19,True
SHP-000190,ORD-000190,Jadlog,2025-08-26,,False
SHP-000191,ORD-000191,Total Express,2025-03-12,2025-03-12,False
SHP-000192,ORD-000192,Jadlog,2025-03-14,,False
SHP-000193,ORD-000193,Total Express,2025-06-01,2025-06-01,False
SHP-000194,ORD-000194,Jadlog,2025-10-28,2025-10-27,False
SHP-000195,ORD-000195,Jadlog,2025-04-01,2025-04-03,True
SHP-000196,ORD-000196,Correios,2025-12-05,2025-12-04,False
SHP-000197,ORD-000197,Jadlog,2025-05-13,2025-05-12,False
SHP-000198,ORD-000198,Correios,2025-04-05,2025-04-05,False
SHP-000199,ORD-000199,Correios,2025-06-19,2025-06-19,False
SHP-000200,ORD-000200,Total Express,2025-09-23,,False
SHP-000201,ORD-000201,Loggi,2025-12-04,2025-12-06,True
SHP-000202,ORD-000202,Correios,2025-09-29,,False
SHP-000203,ORD-000203,Total Express,2025-02-27,,False
SHP-000204,ORD-000204,Correios,2025-03-01,2025-03-01,False
SHP-000205,ORD-000205,Correios,2025-02-13,2025-02-13,False
SHP-000206,ORD-000206,Correios,2025-12-14,2025-12-14,False
SHP-000207,ORD-000207,Jadlog,2025-12-25,2025-12-25,False
SHP-000208,ORD-000208,Total Express,2025-12-16,2025-12-15,False
SHP-000209,ORD-000209,Correios,2025-10-13,2025-10-13,False
SHP-000210,ORD-000210,Total Express,2025-12-13,2025-12-13,False
SHP-000211,ORD-000211,Jadlog,2025-06-27,2025-06-27,False
SHP-000212,ORD-000212,Total Express,2025-10-23,2025-10-24,True
SHP-000213,ORD-000213,Correios,2025-07-08,2025-07-07,False
SHP-000214,ORD-000214,Loggi,2025-01-18,2025-01-18,False
SHP-000215,ORD-000215,Jadlog,2025-05-03,2025-05-03,False
SHP-000216,ORD-000216,Loggi,2025-09-25,2025-09-24,False
SHP-000217,ORD-000217,Loggi,2025-05-08,2025-05-10,True
SHP-000218,ORD-000218,Total Express,2025-05-20,,False
SHP-000219,ORD-000219,Jadlog,2025-09-08,,False
SHP-000220,ORD-000220,Correios,2025-11-09,2025-11-10,True
SHP-000221,ORD-000221,Jadlog,2025-01-28,,False
SHP-000222,ORD-000222,Jadlog,2025-08-02,2025-08-04,True
SHP-000223,ORD-000223,Jadlog,2025-10-29,,False
SHP-000224,ORD-000224,Total Express,2025-07-20,2025-07-19,False
SHP-000225,ORD-000225,Correios,2025-03-16,2025-03-18,True
SHP-000226,ORD-000226,Loggi,2025-03-18,2025-03-18,False
SHP-000227,ORD-000227,Total Express,2025-07-09,2025-07-10,True
SHP-000228,ORD-000228,Correios,2025-07-17,2025-07-17,False
SHP-000229,ORD-000229,Total Express,2025-09-21,2025-09-21,False
SHP-000230,ORD-000230,Loggi,2025-11-10,2025-11-12,True
SHP-000231,ORD-000231,Jadlog,2025-11-06,2025-11-05,False
SHP-000232,ORD-000232,Jadlog,2025-04-03,2025-04-05,True
SHP-000233,ORD-000233,Jadlog,2025-01-11,2025-01-11,False
SHP-000234,ORD-000234,Total Express,2025-09-22,2025-09-23,True
SHP-000235,ORD-000235,Jadlog,2025-09-11,2025-09-11,False
SHP-000236,ORD-000236,Jadlog,2025-06-18,,False
SHP-000237,ORD-000237,Jadlog,2025-06-14,,False
SHP-000238,ORD-000238,Correios,2025-05-11,2025-05-13,True
SHP-000239,ORD-000239,Total Express,2025-09-07,2025-09-09,True
SHP-000240,ORD-000240,Correios,2025-10-12,2025-10-11,False
SHP-000241,ORD-000241,Total Express,2025-04-23,2025-04-23,False
SHP-000242,ORD-000242,Jadlog,2025-04-26,2025-04-26,False
SHP-000243,ORD-000243,Loggi,2025-08-18,2025-08-20,True
SHP-000244,ORD-000244,Total Express,2025-09-12,,False
SHP-000245,ORD-000245,Jadlog,2025-11-27,2025-11-29,True
SHP-000246,ORD-000246,Loggi,2025-10-29,,False
SHP-000247,ORD-000247,Loggi,2025-11-25,2025-11-25,False
SHP-000248,ORD-000248,Jadlog,2025-12-04,2025-12-04,False
SHP-000249,ORD-000249,Jadlog,2025-05-12,2025-05-12,False
SHP-000250,ORD-000250,Loggi,2025-12-08,2025-12-09,True
SHP-000251,ORD-000251,Jadlog,2025-08-22,,False
SHP-000252,ORD-000252,Total Express,2025-02-18,2025-02-19,True
SHP-000253,ORD-000253,Total Express,2025-01-12,2025-01-13,True
SHP-000254,ORD-000254,Loggi,2025-04-01,2025-04-01,False
SHP-000255,ORD-000255,Total Express,2025-10-06,2025-10-06,False
SHP-000256,ORD-000256,Jadlog,2025-06-20,2025-06-19,False
SHP-000257,ORD-000257,Jadlog,2025-03-26,2025-03-27,True
SHP-000258,ORD-000258,Jadlog,2025-05-15,2025-05-14,False
SHP-000259,ORD-000259,Loggi,2025-07-24,2025-07-25,True
SHP-000260,ORD-000260,Total Express,2025-07-11,2025-07-10,False
SHP-000261,ORD-000261,Loggi,2025-05-13,,False
SHP-000262,ORD-000262,Total Express,2025-11-24,2025-11-24,False
SHP-000263,ORD-000263,Jadlog,2025-04-13,2025-04-15,True
SHP-000264,ORD-000264,Total Express,2025-07-05,2025-07-05,False
SHP-000265,ORD-000265,Total Express,2025-11-27,2025-11-29,True
SHP-000266,ORD-000266,Correios,2025-10-13,2025-10-13,False
SHP-000267,ORD-000267,Jadlog,2025-04-12,,False
SHP-000268,ORD-000268,Correios,2025-09-13,2025-09-15,True
SHP-000269,ORD-000269,Loggi,2025-05-05,2025-05-04,False
SHP-000270,ORD-000270,Total Express,2025-08-30,2025-09-01,True
SHP-000271,ORD-000271,Total Express,2025-07-05,2025-07-05,False
SHP-000272,ORD-000272,Jadlog,2025-07-26,2025-07-26,False
SHP-000273,ORD-000273,Correios,2025-01-27,2025-01-27,False
SHP-000274,ORD-000274,Total Express,2025-06-24,2025-06-26,True
SHP-000275,ORD-000275,Correios,2025-02-01,2025-02-02,True
SHP-000276,ORD-000276,Correios,2025-10-03,,False
SHP-000277,ORD-000277,Loggi,2025-08-17,2025-08-18,True
SHP-000278,ORD-000278,Jadlog,2025-07-31,2025-07-31,False
SHP-000279,ORD-000279,Jadlog,2025-05-22,2025-05-22,False
SHP-000280,ORD-000280,Jadlog,2025-07-04,2025-07-04,False
SHP-000281,ORD-000281,Correios,2025-02-19,2025-02-20,True
SHP-000282,ORD-000282,Correios,2025-04-21,2025-04-22,True
SHP-000283,ORD-000283,Loggi,2025-04-04,2025-04-04,False
SHP-000284,ORD-000284,Correios,2025-03-03,2025-03-05,True
SHP-000285,ORD-000285,Loggi,2025-05-12,2025-05-12,False
SHP-000286,ORD-000286,Jadlog,2025-02-07,2025-02-09,True
SHP-000287,ORD-000287,Jadlog,2025-05-12,2025-05-12,False
SHP-000288,ORD-000288,Correios,2025-12-26,,False
SHP-000289,ORD-000289,Loggi,2025-06-19,2025-06-21,True
SHP-000290,ORD-000290,Total Express,2025-10-22,,False
SHP-000291,ORD-000291,Jadlog,2025-12-05,2025-12-05,False
SHP-000292,ORD-000292,Total Express,2025-04-23,2025-04-23,False
SHP-000293,ORD-000293,Jadlog,2025-10-23,,False
SHP-000294,ORD-000294,Total Express,2025-10-08,2025-10-08,False
SHP-000295,ORD-000295,Jadlog,2025-08-08,2025-08-08,False
SHP-000296,ORD-000296,Correios,2025-08-08,2025-08-08,False
SHP-000297,ORD-000297,Jadlog,2025-03-07,2025-03-07,False
SHP-000298,ORD-000298,Loggi,2025-03-19,2025-03-21,True
SHP-000299,ORD-000299,Loggi,2025-08-26,2025-08-26,False
SHP-000300,ORD-000300,Loggi,2025-11-21,2025-11-23,True
SHP-000301,ORD-000301,Correios,2025-02-21,2025-02-21,False
SHP-000302,ORD-000302,Loggi,2025-06-11,2025-06-11,False
SHP-000303,ORD-000303,Loggi,2025-08-03,2025-08-04,True
SHP-000304,ORD-000304,Jadlog,2025-11-14,,False
SHP-000305,ORD-000305,Total Express,2025-11-13,2025-11-15,True
SHP-000306,ORD-000306,Loggi,2025-01-31,,False
SHP-000307,ORD-000307,Total Express,2025-01-12,2025-01-13,True
SHP-000308,ORD-000308,Correios,2025-01-24,2025-01-26,True
SHP-000309,ORD-000309,Correios,2025-10-29,2025-10-29,False
SHP-000310,ORD-000310,Correios,2025-06-10,2025-06-10,False
SHP-000311,ORD-000311,Jadlog,2025-04-19,,False
SHP-000312,ORD-000312,Correios,2025-02-26,2025-02-25,False
SHP-000313,ORD-000313,Correios,2025-12-09,2025-12-10,True
SHP-000314,ORD-000314,Jadlog,2025-03-23,2025-03-23,False
SHP-000315,ORD-000315,Correios,2026-01-04,,False
SHP-000316,ORD-000316,Correios,2025-07-23,2025-07-23,False
SHP-000317,ORD-000317,Loggi,2026-01-01,2026-01-01,False
SHP-000318,ORD-000318,Loggi,2025-09-14,2025-09-13,False
SHP-000319,ORD-000319,Total Express,2025-09-01,2025-09-02,True
SHP-000320,ORD-000320,Total Express,2025-06-28,2025-06-30,True
SHP-000321,ORD-000321,Correios,2025-10-16,2025-10-16,False
SHP-000322,ORD-000322,Correios,2025-03-20,2025-03-22,True
SHP-000323,ORD-000323,Correios,2025-09-22,2025-09-22,False
SHP-000324,ORD-000324,Loggi,2025-08-17,2025-08-18,True
SHP-000325,ORD-000325,Jadlog,2025-08-08,2025-08-09,True
SHP-000326,ORD-000326,Correios,2025-03-16,2025-03-17,True
SHP-000327,ORD-000327,Jadlog,2025-09-19,2025-09-18,False
SHP-000328,ORD-000328,Loggi,2025-10-05,2025-10-04,False
SHP-000329,ORD-000329,Loggi,2025-02-05,2025-02-05,False
SHP-000330,ORD-000330,Loggi,2025-11-22,2025-11-22,False
SHP-000331,ORD-000331,Total Express,2025-11-17,2025-11-17,False
SHP-000332,ORD-000332,Jadlog,2025-10-06,2025-10-06,False
SHP-000333,ORD-000333,Loggi,2025-07-02,2025-07-03,True
SHP-000334,ORD-000334,Loggi,2025-10-06,2025-10-06,False
SHP-000335,ORD-000335,Correios,2025-05-24,2025-05-23,False
SHP-000336,ORD-000336,Correios,2025-02-11,2025-02-11,False
SHP-000337,ORD-000337,Total Express,2025-03-06,,False
SHP-000338,ORD-000338,Loggi,2025-05-25,2025-05-25,False
SHP-000339,ORD-000339,Correios,2025-08-19,2025-08-18,False
SHP-000340,ORD-000340,Correios,2025-02-12,2025-02-14,True
SHP-000341,ORD-000341,Correios,2026-01-06,2026-01-07,True
SHP-000342,ORD-000342,Jadlog,2025-10-08,2025-10-08,False
SHP-000343,ORD-000343,Correios,2025-10-14,2025-10-14,False
SHP-000344,ORD-000344,Total Express,2025-11-08,2025-11-07,False
SHP-000345,ORD-000345,Correios,2025-04-23,2025-04-24,True
SHP-000346,ORD-000346,Correios,2025-11-17,2025-11-19,True
SHP-000347,ORD-000347,Jadlog,2025-02-27,,False
SHP-000348,ORD-000348,Loggi,2025-04-28,,False
SHP-000349,ORD-000349,Loggi,2025-04-02,,False
SHP-000350,ORD-000350,Correios,2025-12-26,2025-12-28,True
SHP-000351,ORD-000351,Loggi,2025-04-06,,False
SHP-000352,ORD-000352,Correios,2025-10-08,2025-10-07,False
SHP-000353,ORD-000353,Total Express,2025-07-09,2025-07-09,False
SHP-000354,ORD-000354,Jadlog,2025-10-28,2025-10-29,True
SHP-000355,ORD-000355,Jadlog,2025-09-03,2025-09-03,False
SHP-000356,ORD-000356,Jadlog,2025-12-25,2025-12-27,True
SHP-000357,ORD-000357,Correios,2025-08-03,2025-08-05,True
SHP-000358,ORD-000358,Jadlog,2025-01-29,2025-01-29,False
SHP-000359,ORD-000359,Jadlog,2025-06-05,2025-06-06,True
SHP-000360,ORD-000360,Total Express,2025-07-12,2025-07-12,False
SHP-000361,ORD-000361,Loggi,2025-05-26,,False
SHP-000362,ORD-000362,Jadlog,2025-01-31,2025-01-31,False
SHP-000363,ORD-000363,Loggi,2025-03-08,2025-03-09,True
SHP-000364,ORD-000364,Total Express,2025-02-09,2025-02-09,False
SHP-000365,ORD-000365,Total Express,2025-07-16,2025-07-16,False
SHP-000366,ORD-000366,Jadlog,2025-04-18,2025-04-18,False
SHP-000367,ORD-000367,Total Express,2025-01-19,,False
SHP-000368,ORD-000368,Jadlog,2025-06-10,2025-06-11,True
SHP-000369,ORD-000369,Loggi,2025-03-28,2025-03-29,True
SHP-000370,ORD-000370,Total Express,2025-04-08,2025-04-09,True
SHP-000371,ORD-000371,Loggi,2025-03-24,2025-03-25,True
SHP-000372,ORD-000372,Loggi,2025-03-03,2025-03-04,True
SHP-000373,ORD-000373,Total Express,2025-06-25,2025-06-24,False
SHP-000374,ORD-000374,Loggi,2025-09-14,,False
SHP-000375,ORD-000375,Loggi,2025-08-21,2025-08-21,False
SHP-000376,ORD-000376,Total Express,2025-09-30,,False
SHP-000377,ORD-000377,Total Express,2025-10-19,2025-10-19,False
SHP-000378,ORD-000378,Total Express,2025-09-15,2025-09-15,False
SHP-000379,ORD-000379,Jadlog,2025-12-27,,False
SHP-000380,ORD-000380,Loggi,2025-05-27,2025-05-27,False
SHP-000381,ORD-000381,Total Express,2025-06-16,2025-06-16,False
SHP-000382,ORD-000382,Total Express,2025-07-01,2025-06-30,False
SHP-000383,ORD-000383,Correios,2025-02-17,2025-02-17,False
SHP-000384,ORD-000384,Total Express,2025-03-05,2025-03-06,True
SHP-000385,ORD-000385,Jadlog,2025-04-15,2025-04-17,True
SHP-000386,ORD-000386,Correios,2025-12-17,2025-12-19,True
SHP-000387,ORD-000387,Loggi,2025-10-30,,False
SHP-000388,ORD-000388,Correios,2025-11-01,2025-11-02,True
SHP-000389,ORD-000389,Total Express,2025-03-17,2025-03-17,False
SHP-000390,ORD-000390,Correios,2025-06-17,2025-06-18,True
SHP-000391,ORD-000391,Jadlog,2025-08-19,2025-08-18,False
SHP-000392,ORD-000392,Jadlog,2025-08-13,2025-08-13,False
SHP-000393,ORD-000393,Jadlog,2025-08-29,2025-08-28,False
SHP-000394,ORD-000394,Loggi,2025-11-12,2025-11-12,False
SHP-000395,ORD-000395,Total Express,2025-09-18,2025-09-18,False
SHP-000396,ORD-000396,Total Express,2025-08-30,2025-08-29,False
SHP-000397,ORD-000397,Loggi,2025-10-17,,False
SHP-000398,ORD-000398,Total Express,2025-05-31,2025-05-31,False
SHP-000399,ORD-000399,Correios,2025-02-03,2025-02-03,False
SHP-000400,ORD-000400,Correios,2025-06-19,2025-06-20,True
SHP-000401,ORD-000401,Jadlog,2025-12-15,2025-12-17,True
SHP-000402,ORD-000402,Loggi,2025-05-21,,False
SHP-000403,ORD-000403,Loggi,2025-10-24,2025-10-26,True
SHP-000404,ORD-000404,Jadlog,2025-08-07,,False
SHP-000405,ORD-000405,Total Express,2025-09-05,2025-09-05,False
SHP-000406,ORD-000406,Jadlog,2025-06-16,2025-06-16,False
SHP-000407,ORD-000407,Jadlog,2025-05-14,2025-05-16,True
SHP-000408,ORD-000408,Correios,2025-01-28,2025-01-28,False
SHP-000409,ORD-000409,Total Express,2025-03-18,,False
SHP-000410,ORD-000410,Correios,2025-02-22,2025-02-22,False
