order_id,customer_id,order_datetime,channel,payment_method,status,gross_revenue,discount_amount,freight_amount,cancellation_amount,return_amount,net_revenue,cost_amount,gross_margin
ORD-000035,CUST-00093,2025-10-11 17:23:00,app,boleto,delivered,299.8,29.98,13.79,0.0,0.0,269.82,144.0,125.82
ORD-000036,CUST-00197,2025-07-29 17:04:00,site,credit_card,delivered,1644.0,0.0,29.17,0.0,0.0,1644.0,808.0,836.0
ORD-000037,CUST-00213,2025-03-05 16:09:00,app,credit_card,delivered,424.7,0.0,14.76,0.0,0.0,424.7,199.0,225.7
ORD-000038,CUST-00033,2025-11-17 12:39:00,marketplace,boleto,cancelled,479.8,0.0,24.98,479.8,0.0,0.0,230.0,0
ORD-000039,CUST-00216,2025-10-16 08:52:00,site,pix,delivered,1319.2,0.0,11.26,0.0,0.0,1319.2,572.0,747.2
ORD-000040,CUST-00165,2025-06-04 15:15:00,site,pix,returned,259.9,12.99,18.82,0.0,246.9,0.0,137.0,0
ORD-000041,CUST-00053,2025-06-24 17:09:00,app,credit_card,delivered,1719.3,257.89,19.48,0.0,0.0,1461.41,907.0,554.41
ORD-000042,CUST-00116,2025-05-07 10:06:00,app,pix,delivered,1369.3,0.0,38.26,0.0,0.0,1369.3,622.0,747.3
ORD-000043,CUST-00024,2025-07-21 16:29:00,app,boleto,delivered,119.8,0.0,27.4,0.0,0.0,119.8,49.0,70.8
ORD-000044,CUST-00138,2025-01-05 09:27:00,marketplace,pix,delivered,1389.1,0.0,31.73,0.0,0.0,1389.1,664.5,724.6
ORD-000045,CUST-00196,2025-10-09 12:52:00,marketplace,pix,cancelled,859.6,128.94,28.23,730.66,0.0,0.0,452.0,0
ORD-000046,CUST-00155,2025-09-18 14:32:00,site,pix,delivered,1314.3,0.0,11.07,0.0,0.0,1314.3,700.0,614.3
ORD-000047,CUST-00101,2025-11-12 19:53:00,site,pix,delivered,2599.2,259.92,19.99,0.0,0.0,2339.28,1479.0,860.28
ORD-000048,CUST-00153,2025-08-31 12:41:00,site,boleto,cancelled,439.8,43.98,16.73,395.82,0.0,0.0,186.0,0
ORD-000049,CUST-00038,2025-12-15 11:02:00,app,credit_card,cancelled,799.8,119.97,13.2,679.83,0.0,0.0,476.0,0
ORD-000050,CUST-00106,2025-09-14 20:39:00,marketplace,pix,delivered,334.5,50.17,31.72,0.0,0.0,284.32,137.0,147.32
ORD-000051,CUST-00245,2025-03-30 15:58:00,app,credit_card,cancelled,1319.4,0.0,26.29,1319.4,0.0,0.0,698.0,0
ORD-000052,CUST-00181,2025-04-17 19:45:00,app,pix,delivered,1939.2,0.0,24.29,0.0,0.0,1939.2,1065.0,874.2
ORD-000053,CUST-00074,2025-02-10 13:59:00,site,boleto,delivered,1519.1,227.86,17.59,0.0,0.0,1291.23,795.0,496.23
ORD-000054,CUST-00063,2025-01-26 18:57:00,app,boleto,cancelled,299.8,0.0,29.04,299.8,0.0,0.0,144.0,0
ORD-000055,CUST-00175,2025-03-12 08:35:00,site,boleto,delivered,1809.2,90.46,29.49,0.0,0.0,1718.74,990.0,728.74
ORD-000056,CUST-00234,2025-03-31 14:56:00,site,pix,delivered,2089.1,0.0,39.82,0.0,0.0,2089.1,1210.5,878.6
ORD-000057,CUST-00228,2025-03-10 16:29:00,marketplace,pix,delivered,1439.5,0.0,34.16,0.0,0.0,1439.5,813.0,626.5
ORD-000058,CUST-00045,2025-11-09 18:57:00,site,credit_card,delivered,839.7,41.98,25.36,0.0,0.0,797.71,462.0,335.71
ORD-000059,CUST-00240,2025-05-08 08:16:00,app,boleto,delivered,1839.3,0.0,23.3,0.0,0.0,1839.3,1029.0,810.3
ORD-000060,CUST-00171,2025-03-02 15:19:00,site,credit_card,delivered,1319.4,65.97,30.48,0.0,0.0,1253.43,711.0,542.43
ORD-000061,CUST-00192,2025-11-07 13:26:00,marketplace,pix,returned,479.6,47.96,37.28,0.0,431.64,0.0,211.0,0
ORD-000062,CUST-00235,2025-10-16 09:03:00,site,boleto,cancelled,1069.5,106.95,15.96,962.55,0.0,0.0,536.0,0
ORD-000063,CUST-00024,2025-09-19 15:51:00,site,pix,delivered,1714.0,85.7,13.86,0.0,0.0,1628.3,855.0,773.3
ORD-000064,CUST-00149,2025-02-07 08:27:00,site,pix,delivered,299.8,44.97,11.81,0.0,0.0,254.83,144.0,110.83
ORD-000065,CUST-00197,2025-11-25 19:41:00,marketplace,pix,delivered,2729.0,0.0,39.69,0.0,0.0,2729.0,1494.0,1235.0
ORD-000066,CUST-00136,2025-03-07 19:14:00,app,credit_card,delivered,1204.4,0.0,39.25,0.0,0.0,1204.4,609.0,595.4
ORD-000067,CUST-00009,2025-12-05 14:39:00,app,boleto,delivered,219.9,0.0,16.08,0.0,0.0,219.9,93.0,126.9
ORD-000068,CUST-00190,2025-01-23 14:28:00,app,credit_card,delivered,689.7,68.97,16.42,0.0,0.0,620.73,354.0,266.73
ORD-000069,CUST-00148,2025-11-03 20:43:00,app,pix,delivered,269.7,0.0,18.95,0.0,0.0,269.7,116.0,153.7
ORD-000070,CUST-00161,2025-12-14 14:35:00,marketplace,pix,delivered,1204.4,0.0,39.07,0.0,0.0,1204.4,600.0,604.4
ORD-000071,CUST-00220,2025-12-29 10:51:00,marketplace,credit_card,delivered,1354.4,0.0,26.77,0.0,0.0,1354.4,717.0,637.4
ORD-000072,CUST-00138,2025-04-08 08:17:00,marketplace,boleto,delivered,149.9,22.48,28.05,0.0,0.0,127.42,72.0,55.42
ORD-000073,CUST-00123,2025-04-17 13:19:00,site,boleto,delivered,519.8,0.0,38.01,0.0,0.0,519.8,274.0,245.8
ORD-000074,CUST-00235,2025-05-03 16:20:00,site,boleto,delivered,1949.3,97.47,23.89,0.0,0.0,1851.83,1119.0,732.83
ORD-000075,CUST-00095,2025-06-10 14:02:00,marketplace,boleto,cancelled,1049.7,0.0,32.14,1049.7,0.0,0.0,663.0,0
ORD-000076,CUST-00076,2025-03-20 11:21:00,app,pix,delivered,1334.4,66.72,26.99,0.0,0.0,1267.68,765.0,502.68
ORD-000077,CUST-00044,2025-06-30 10:08:00,site,boleto,returned,44.9,4.49,24.55,0.0,40.41,0.0,17.0,0
ORD-000078,CUST-00036,2025-11-19 11:04:00,marketplace,boleto,returned,1309.3,0.0,10.17,0.0,1309.3,0.0,653.0,0
ORD-000079,CUST-00136,2025-05-21 16:18:00,marketplace,pix,delivered,694.4,69.44,34.29,0.0,0.0,624.96,323.0,301.96
ORD-000080,CUST-00021,2025-07-11 14:29:00,marketplace,credit_card,cancelled,889.6,0.0,39.61,889.6,0.0,0.0,467.0,0
ORD-000081,CUST-00098,2025-07-13 16:30:00,app,boleto,delivered,1499.5,224.92,10.18,0.0,0.0,1274.57,858.0,416.57
ORD-000082,CUST-00059,2025-04-19 19:56:00,marketplace,boleto,cancelled,359.8,17.99,18.03,341.81,0.0,0.0,164.0,0
ORD-000083,CUST-00046,2025-06-11 08:13:00,app,pix,cancelled,2138.9,0.0,32.47,2138.9,0.0,0.0,1141.0,0
ORD-000084,CUST-00203,2025-12-19 19:05:00,site,credit_card,cancelled,299.8,44.97,39.13,254.83,0.0,0.0,144.0,0
ORD-000085,CUST-00249,2025-06-17 08:40:00,marketplace,pix,delivered,1424.3,71.22,24.62,0.0,0.0,1353.09,725.0,628.09
ORD-000086,CUST-00205,2025-05-07 19:04:00,site,credit_card,delivered,1079.6,0.0,14.53,0.0,0.0,1079.6,582.0,497.6
ORD-000087,CUST-00093,2025-05-19 09:08:00,app,pix,delivered,1859.0,0.0,22.83,0.0,0.0,1859.0,924.5,934.5
ORD-000088,CUST-00100,2025-02-13 19:57:00,app,pix,cancelled,459.8,0.0,27.06,459.8,0.0,0.0,236.0,0
ORD-000089,CUST-00038,2025-02-02 10:27:00,site,boleto,delivered,379.8,18.99,18.89,0.0,0.0,360.81,182.0,178.81
ORD-000090,CUST-00118,2025-02-24 10:19:00,app,boleto,delivered,2589.1,129.46,19.87,0.0,0.0,2459.64,1432.0,1027.64
ORD-000091,CUST-00081,2025-04-01 14:20:00,marketplace,credit_card,delivered,1299.3,194.89,30.75,0.0,0.0,1104.41,608.0,496.41
ORD-000092,CUST-00175,2025-10-09 08:46:00,marketplace,pix,delivered,1359.4,203.91,16.19,0.0,0.0,1155.49,709.0,446.49
ORD-000093,CUST-00184,2025-08-05 20:24:00,app,boleto,delivered,1614.1,80.71,39.62,0.0,0.0,1533.39,775.0,758.39
ORD-000094,CUST-00028,2025-05-08 18:42:00,marketplace,boleto,delivered,659.7,0.0,29.31,0.0,0.0,659.7,279.0,380.7
ORD-000095,CUST-00028,2025-01-06 09:16:00,marketplace,boleto,delivered,1179.6,117.96,32.31,0.0,0.0,1061.64,658.0,403.64
ORD-000096,CUST-00089,2025-01-13 15:06:00,site,pix,delivered,449.7,22.49,37.52,0.0,0.0,427.22,216.0,211.22
ORD-000097,CUST-00201,2025-04-16 16:30:00,marketplace,credit_card,delivered,1189.3,59.47,12.83,0.0,0.0,1129.84,615.0,514.84
ORD-000098,CUST-00133,2025-03-31 16:10:00,site,boleto,delivered,2039.0,203.9,22.69,0.0,0.0,1835.1,1013.0,822.1
ORD-000099,CUST-00152,2025-08-08 14:00:00,marketplace,credit_card,returned,219.9,0.0,16.07,0.0,219.9,0.0,93.0,0
ORD-000100,CUST-00118,2025-02-28 12:42:00,app,pix,delivered,1539.4,153.94,38.88,0.0,0.0,1385.46,785.0,600.46
ORD-000101,CUST-00209,2025-12-11 19:51:00,site,credit_card,delivered,489.7,48.97,27.61,0.0,0.0,440.73,235.0,205.73
ORD-000102,CUST-00108,2025-11-02 10:36:00,site,credit_card,delivered,549.6,27.48,15.47,0.0,0.0,522.12,270.0,252.12
ORD-000103,CUST-00222,2025-07-03 08:31:00,site,boleto,delivered,2259.2,0.0,34.36,0.0,0.0,2259.2,1239.0,1020.2
ORD-000104,CUST-00009,2025-05-21 11:34:00,site,boleto,delivered,1829.0,0.0,33.32,0.0,0.0,1829.0,868.0,961.0
ORD-000105,CUST-00109,2025-02-22 19:53:00,app,credit_card,returned,799.8,0.0,18.83,0.0,799.8,0.0,476.0,0
ORD-000106,CUST-00054,2025-10-29 19:22:00,site,boleto,returned,449.8,44.98,28.88,0.0,404.82,0.0,211.0,0
ORD-000107,CUST-00153,2025-10-03 10:20:00,app,boleto,returned,554.6,0.0,18.58,0.0,554.6,0.0,253.0,0
ORD-000108,CUST-00038,2025-12-31 13:53:00,app,pix,delivered,979.5,146.93,21.68,0.0,0.0,832.58,432.0,400.58
ORD-000109,CUST-00104,2025-09-21 19:17:00,marketplace,pix,returned,1638.9,0.0,23.54,0.0,1638.9,0.0,748.5,0
ORD-000110,CUST-00056,2025-08-08 11:31:00,marketplace,credit_card,delivered,1034.3,0.0,34.75,0.0,0.0,1034.3,473.0,561.3
ORD-000111,CUST-00005,2025-03-05 10:28:00,app,credit_card,delivered,1839.2,0.0,39.66,0.0,0.0,1839.2,1031.0,808.2
ORD-000112,CUST-00102,2025-11-17 12:46:00,site,credit_card,returned,259.9,0.0,22.78,0.0,259.9,0.0,137.0,0
ORD-000113,CUST-00152,2025-04-26 16:43:00,app,credit_card,delivered,809.6,0.0,10.14,0.0,0.0,809.6,416.0,393.6
ORD-000114,CUST-00081,2025-07-08 12:08:00,marketplace,boleto,delivered,494.6,0.0,29.15,0.0,0.0,494.6,233.0,261.6
ORD-000115,CUST-00185,2025-04-20 18:47:00,app,pix,delivered,1549.1,77.46,28.38,0.0,0.0,1471.65,741.0,730.65
ORD-000116,CUST-00071,2025-11-27 09:15:00,marketplace,credit_card,cancelled,1489.3,148.93,27.9,1340.37,0.0,0.0,873.5,0
ORD-000117,CUST-00076,2025-11-27 08:50:00,marketplace,credit_card,delivered,1379.6,68.98,21.48,0.0,0.0,1310.62,796.0,514.62
ORD-000118,CUST-00100,2025-10-19 14:23:00,site,pix,cancelled,749.5,112.42,15.08,637.08,0.0,0.0,351.0,0
ORD-000119,CUST-00161,2025-12-31 16:49:00,marketplace,boleto,delivered,539.7,26.99,30.95,0.0,0.0,512.72,246.0,266.72
ORD-000120,CUST-00080,2025-02-10 16:58:00,site,credit_card,delivered,1819.1,0.0,25.99,0.0,0.0,1819.1,880.0,939.1
ORD-000121,CUST-00117,2025-11-10 17:03:00,marketplace,credit_card,delivered,509.6,76.44,32.15,0.0,0.0,433.16,240.5,192.66
ORD-000122,CUST-00134,2025-09-22 20:52:00,site,pix,returned,1129.6,0.0,14.91,0.0,1129.6,0.0,632.0,0
ORD-000123,CUST-00068,2025-12-31 17:40:00,app,credit_card,delivered,1079.6,53.98,23.56,0.0,0.0,1025.62,593.5,432.12
ORD-000124,CUST-00190,2025-09-18 08:02:00,marketplace,boleto,delivered,1509.3,0.0,11.28,0.0,0.0,1509.3,754.0,755.3
ORD-000125,CUST-00064,2025-08-02 19:20:00,site,credit_card,delivered,134.7,0.0,27.05,0.0,0.0,134.7,51.0,83.7
ORD-000126,CUST-00245,2025-07-25 09:56:00,site,pix,delivered,619.5,0.0,33.11,0.0,0.0,619.5,288.0,331.5
ORD-000127,CUST-00119,2025-07-08 17:31:00,site,boleto,delivered,519.7,77.95,36.91,0.0,0.0,441.75,260.5,181.25
ORD-000128,CUST-00001,2025-12-03 14:54:00,site,credit_card,returned,289.6,43.44,19.13,0.0,246.16,0.0,120.0,0
ORD-000129,CUST-00012,2025-04-29 16:26:00,marketplace,credit_card,returned,219.9,0.0,23.65,0.0,219.9,0.0,93.0,0
ORD-000130,CUST-00152,2025-10-18 08:27:00,site,credit_card,returned,1459.4,0.0,17.0,0.0,1459.4,0.0,764.0,0
ORD-000131,CUST-00040,2025-02-24 10:28:00,site,credit_card,delivered,1349.5,0.0,22.1,0.0,0.0,1349.5,783.0,566.5
ORD-000132,CUST-00056,2025-06-17 10:05:00,marketplace,boleto,returned,1244.4,0.0,38.95,0.0,1244.4,0.0,669.5,0
ORD-000133,CUST-00119,2025-02-22 20:50:00,marketplace,boleto,delivered,659.6,0.0,10.26,0.0,0.0,659.6,322.0,337.6
ORD-000134,CUST-00235,2025-02-08 08:04:00,app,credit_card,delivered,339.8,50.97,23.2,0.0,0.0,288.83,163.0,125.83
ORD-000135,CUST-00211,2025-07-22 15:01:00,site,boleto,delivered,1009.5,151.42,22.7,0.0,0.0,858.08,543.0,315.08
ORD-000136,CUST-00166,2025-06-01 15:26:00,site,boleto,cancelled,1749.3,87.47,11.73,1661.84,0.0,0.0,919.0,0
ORD-000137,CUST-00098,2025-07-03 15:34:00,site,credit_card,delivered,1669.4,0.0,37.28,0.0,0.0,1669.4,950.0,719.4
ORD-000138,CUST-00136,2025-07-03 20:37:00,site,boleto,delivered,1094.6,0.0,12.9,0.0,0.0,1094.6,680.0,414.6
ORD-000139,CUST-00046,2025-05-02 17:20:00,app,boleto,returned,779.7,116.95,20.66,0.0,662.74,0.0,411.0,0
ORD-000140,CUST-00215,2025-09-10 16:19:00,site,credit_card,delivered,299.7,14.99,11.04,0.0,0.0,284.72,129.0,155.72
ORD-000141,CUST-00085,2025-11-11 11:51:00,site,boleto,delivered,1189.3,0.0,31.41,0.0,0.0,1189.3,602.5,586.8
ORD-000142,CUST-00181,2025-12-06 14:37:00,marketplace,pix,delivered,1249.5,0.0,18.95,0.0,0.0,1249.5,662.0,587.5
ORD-000143,CUST-00058,2025-12-07 17:52:00,marketplace,credit_card,delivered,1589.2,79.46,19.1,0.0,0.0,1509.74,814.0,695.74
ORD-000144,CUST-00236,2025-11-10 11:40:00,app,credit_card,cancelled,489.7,0.0,38.0,489.7,0.0,0.0,235.0,0
ORD-000145,CUST-00211,2025-12-29 18:40:00,marketplace,credit_card,returned,869.5,0.0,23.3,0.0,869.5,0.0,432.0,0
ORD-000146,CUST-00188,2025-08-03 10:56:00,marketplace,credit_card,delivered,1379.2,68.96,36.35,0.0,0.0,1310.24,712.0,598.24
ORD-000147,CUST-00205,2025-01-18 12:01:00,app,credit_card,delivered,189.9,0.0,38.45,0.0,0.0,189.9,91.0,98.9
ORD-000148,CUST-00087,2025-11-01 17:57:00,site,pix,delivered,499.8,74.97,10.83,0.0,0.0,424.83,247.0,177.83
ORD-000149,CUST-00179,2025-10-11 19:59:00,marketplace,pix,returned,999.4,99.94,17.86,0.0,899.46,0.0,523.0,0
ORD-000150,CUST-00001,2025-08-07 09:18:00,marketplace,pix,returned,209.8,31.47,27.91,0.0,178.33,0.0,96.5,0
ORD-000151,CUST-00079,2025-07-23 15:31:00,app,pix,returned,1249.4,0.0,12.63,0.0,1249.4,0.0,618.0,0
ORD-000152,CUST-00145,2025-02-01 10:48:00,app,boleto,returned,1104.5,165.68,12.8,0.0,938.83,0.0,572.0,0
ORD-000153,CUST-00147,2025-05-01 15:19:00,marketplace,boleto,delivered,134.7,6.73,36.98,0.0,0.0,127.96,51.0,76.96
ORD-000154,CUST-00031,2025-08-18 10:10:00,app,boleto,delivered,1669.1,0.0,13.69,0.0,0.0,1669.1,846.0,823.1
ORD-000155,CUST-00143,2025-07-23 16:20:00,marketplace,boleto,delivered,779.7,77.97,23.64,0.0,0.0,701.73,411.0,290.73
ORD-000156,CUST-00039,2025-03-17 17:37:00,app,pix,cancelled,1049.7,0.0,37.65,1049.7,0.0,0.0,663.0,0
ORD-000157,CUST-00168,2025-09-06 17:38:00,site,credit_card,delivered,1869.2,0.0,15.07,0.0,0.0,1869.2,930.0,939.2
ORD-000158,CUST-00230,2025-07-10 08:21:00,app,pix,delivered,1269.2,0.0,18.31,0.0,0.0,1269.2,603.0,666.2
ORD-000159,CUST-00049,2025-08-15 11:58:00,marketplace,pix,delivered,839.4,125.91,24.43,0.0,0.0,713.49,412.5,300.99
ORD-000160,CUST-00045,2025-04-09 11:53:00,site,pix,delivered,569.7,0.0,10.89,0.0,0.0,569.7,273.0,296.7
ORD-000161,CUST-00163,2025-03-05 18:01:00,marketplace,boleto,delivered,1569.3,0.0,24.56,0.0,0.0,1569.3,839.0,730.3
ORD-000162,CUST-00099,2025-01-26 10:54:00,app,boleto,cancelled,659.5,0.0,35.61,659.5,0.0,0.0,293.0,0
ORD-000163,CUST-00122,2025-03-09 18:11:00,app,pix,cancelled,1579.4,0.0,16.61,1579.4,0.0,0.0,880.0,0
ORD-000164,CUST-00078,2025-12-13 16:52:00,app,boleto,cancelled,134.7,6.73,27.43,127.96,0.0,0.0,51.0,0
ORD-000165,CUST-00077,2025-12-17 09:30:00,site,credit_card,delivered,1149.5,0.0,39.55,0.0,0.0,1149.5,604.0,545.5
ORD-000166,CUST-00175,2025-03-13 19:01:00,marketplace,boleto,returned,1639.3,81.97,39.82,0.0,1557.34,0.0,845.0,0
ORD-000167,CUST-00176,2025-10-01 18:50:00,app,credit_card,delivered,634.6,95.19,20.65,0.0,0.0,539.41,299.0,240.41
ORD-000168,CUST-00243,2025-12-15 13:41:00,app,credit_card,delivered,1489.3,0.0,20.56,0.0,0.0,1489.3,745.0,744.3
ORD-000169,CUST-00121,2025-04-10 16:07:00,site,pix,returned,1319.1,65.96,25.8,0.0,1253.15,0.0,617.0,0
ORD-000170,CUST-00125,2025-06-20 18:11:00,app,boleto,delivered,1689.3,253.39,11.64,0.0,0.0,1435.9,882.0,553.9
ORD-000171,CUST-00248,2025-09-02 14:00:00,site,boleto,delivered,384.5,38.45,15.88,0.0,0.0,346.05,166.5,179.55
ORD-000172,CUST-00178,2025-06-26 12:08:00,marketplace,boleto,delivered,879.4,43.97,25.0,0.0,0.0,835.43,429.0,406.43
ORD-000173,CUST-00112,2025-12-18 10:21:00,marketplace,credit_card,delivered,339.8,0.0,32.4,0.0,0.0,339.8,178.5,161.3
ORD-000174,CUST-00032,2025-07-07 19:41:00,site,boleto,delivered,534.3,26.71,36.2,0.0,0.0,507.58,217.5,290.08
ORD-000175,CUST-00107,2025-08-16 14:07:00,app,pix,cancelled,479.6,0.0,24.13,479.6,0.0,0.0,211.0,0
ORD-000176,CUST-00170,2025-09-24 12:39:00,marketplace,credit_card,cancelled,134.7,20.2,14.01,114.49,0.0,0.0,51.0,0
ORD-000177,CUST-00201,2025-02-24 15:12:00,site,boleto,cancelled,659.7,0.0,33.24,659.7,0.0,0.0,336.0,0
ORD-000178,CUST-00177,2025-09-04 13:15:00,app,credit_card,delivered,659.7,0.0,30.05,0.0,0.0,659.7,279.0,380.7
ORD-000179,CUST-00186,2025-02-21 12:41:00,app,pix,delivered,809.7,40.48,39.56,0.0,0.0,769.21,483.5,285.71
ORD-000180,CUST-00190,2025-03-01 09:54:00,app,boleto,delivered,1159.5,0.0,35.46,0.0,0.0,1159.5,593.0,566.5
ORD-000181,CUST-00047,2025-02-28 14:25:00,site,credit_card,delivered,1659.2,0.0,34.97,0.0,0.0,1659.2,826.0,833.2
ORD-000182,CUST-00206,2025-10-19 18:28:00,app,pix,delivered,789.5,78.95,21.29,0.0,0.0,710.55,353.0,357.55
ORD-000183,CUST-00168,2025-06-10 08:45:00,marketplace,boleto,returned,1109.4,110.94,32.93,0.0,998.46,0.0,519.0,0
ORD-000184,CUST-00170,2025-05-08 15:22:00,marketplace,credit_card,returned,264.8,39.72,29.14,0.0,225.08,0.0,110.0,0
ORD-000185,CUST-00223,2025-03-26 09:48:00,app,credit_card,delivered,514.2,0.0,17.13,0.0,0.0,514.2,210.5,303.7
ORD-000186,CUST-00206,2025-10-21 15:05:00,marketplace,credit_card,delivered,1389.2,69.46,19.38,0.0,0.0,1319.74,678.5,641.24
ORD-000187,CUST-00228,2025-09-18 16:13:00,marketplace,boleto,returned,799.3,119.9,23.59,0.0,679.41,0.0,360.0,0
ORD-000188,CUST-00030,2025-02-19 20:42:00,site,pix,delivered,584.5,0.0,20.14,0.0,0.0,584.5,279.0,305.5
ORD-000189,CUST-00066,2025-11-09 11:12:00,site,boleto,delivered,639.7,31.98,16.37,0.0,0.0,607.72,319.0,288.72
ORD-000190,CUST-00198,2025-08-19 15:42:00,site,boleto,cancelled,1314.0,131.4,13.94,1182.6,0.0,0.0,620.0,0
ORD-000191,CUST-00188,2025-03-07 09:24:00,app,pix,returned,1154.3,115.43,28.08,0.0,1038.87,0.0,595.0,0
ORD-000192,CUST-00207,2025-03-10 10:26:00,marketplace,credit_card,cancelled,1484.1,222.61,36.49,1261.48,0.0,0.0,735.0,0
ORD-000193,CUST-00160,2025-05-29 18:22:00,app,boleto,returned,914.4,0.0,39.34,0.0,914.4,0.0,462.0,0
ORD-000194,CUST-00150,2025-10-20 18:45:00,site,credit_card,delivered,429.6,64.44,32.34,0.0,0.0,365.16,212.5,152.66
ORD-000195,CUST-00069,2025-03-24 12:43:00,marketplace,boleto,delivered,349.5,0.0,35.08,0.0,0.0,349.5,144.5,205.0
ORD-000196,CUST-00191,2025-11-28 16:24:00,marketplace,pix,delivered,999.4,99.94,33.43,0.0,0.0,899.46,487.0,412.46
ORD-000197,CUST-00191,2025-05-09 11:39:00,app,pix,delivered,614.5,0.0,37.24,0.0,0.0,614.5,281.0,333.5
